M, N, latency
33, 8192, 1.2283687943262411e-06
65, 8192, 1.7404255319148937e-06
129, 8192, 2.7645390070921984e-06
257, 8192, 4.811347517730497e-06
9, 8192, 8.439716312056738e-07
17, 8192, 9.71631205673759e-07
258, 8192, 4.828368794326241e-06
130, 8192, 2.780141843971631e-06
260, 8192, 4.859574468085107e-06
66, 8192, 1.7560283687943263e-06
132, 8192, 2.8113475177304964e-06
264, 8192, 4.923404255319149e-06
34, 8192, 1.2439716312056738e-06
68, 8192, 1.7886524822695036e-06
136, 8192, 2.876595744680851e-06
272, 8192, 5.052482269503546e-06
36, 8192, 1.276595744680851e-06
72, 8192, 1.852482269503546e-06
144, 8192, 3.0042553191489363e-06
288, 8192, 5.307801418439716e-06
18, 8192, 9.886524822695036e-07
40, 8192, 1.3404255319148937e-06
80, 8192, 1.9801418439716312e-06
160, 8192, 3.2595744680851063e-06
320, 8192, 5.819858156028369e-06
10, 8192, 8.595744680851064e-07
20, 8192, 1.0198581560283688e-06
48, 8192, 1.4680851063829787e-06
96, 8192, 2.2354609929078016e-06
192, 8192, 3.771631205673759e-06
384, 8192, 6.843971631205674e-06
12, 8192, 8.921985815602837e-07
24, 8192, 1.0836879432624113e-06
64, 8192, 1.7234042553191488e-06
128, 8192, 2.7475177304964537e-06
256, 8192, 4.795744680851064e-06
512, 8192, 8.892198581560284e-06
16, 8192, 9.560283687943261e-07
32, 8192, 1.2113475177304965e-06
768, 8192, 1.2988652482269503e-05
513, 8192, 8.907801418439716e-06
514, 8192, 8.923404255319148e-06
516, 8192, 8.956028368794327e-06
520, 8192, 9.019858156028368e-06
528, 8192, 9.147517730496453e-06
544, 8192, 9.404255319148936e-06
576, 8192, 9.916312056737589e-06
640, 8192, 1.0940425531914893e-05
1024, 8192, 1.7782978723404256e-05
1025, 8192, 1.779858156028369e-05
1026, 8192, 1.7815602836879433e-05
1028, 8192, 1.7846808510638297e-05
1032, 8192, 1.791063829787234e-05
1040, 8192, 1.8039716312056736e-05
1056, 8192, 1.8295035460992907e-05
1088, 8192, 1.880709219858156e-05
1152, 8192, 1.9831205673758864e-05
1280, 8192, 2.1879432624113476e-05
1536, 8192, 2.5975886524822696e-05
2049, 8192, 3.488368794326241e-05
2050, 8192, 3.4899290780141846e-05
2052, 8192, 3.4931914893617023e-05
2056, 8192, 3.499574468085106e-05
2064, 8192, 3.512340425531915e-05
2080, 8192, 3.538014184397163e-05
2112, 8192, 3.589219858156028e-05
2176, 8192, 3.691631205673759e-05
2304, 8192, 3.8964539007092196e-05
2560, 8192, 4.375886524822695e-05
9, 16384, 4.542695035460993e-06
17, 16384, 4.798014184397163e-06
33, 16384, 5.310070921985815e-06
65, 16384, 6.334184397163121e-06
129, 16384, 8.382411347517731e-06
257, 16384, 1.2477446808510639e-05
3, 16384, 2.226666666666667e-06
5, 16384, 3.8099290780141844e-06
258, 16384, 1.2510070921985816e-05
130, 16384, 8.413617021276597e-06
260, 16384, 1.2573900709219858e-05
66, 16384, 6.365390070921987e-06
132, 16384, 8.47744680851064e-06
264, 16384, 1.2701560283687944e-05
34, 16384, 5.342695035460993e-06
68, 16384, 6.430638297872341e-06
136, 16384, 8.606524822695036e-06
272, 16384, 1.2958297872340426e-05
18, 16384, 4.83063829787234e-06
36, 16384, 5.406524822695036e-06
72, 16384, 6.558297872340426e-06
144, 16384, 8.861843971631206e-06
288, 16384, 1.3470354609929079e-05
10, 16384, 4.573900709219858e-06
20, 16384, 4.894468085106383e-06
40, 16384, 5.53418439716312e-06
80, 16384, 6.813617021276596e-06
160, 16384, 9.373900709219858e-06
320, 16384, 1.4494468085106383e-05
12, 16384, 4.6377304964539006e-06
24, 16384, 5.022127659574468e-06
48, 16384, 5.789503546099291e-06
96, 16384, 7.325673758865249e-06
192, 16384, 1.0398014184397164e-05
384, 16384, 1.6542695035460993e-05
6, 16384, 4.446241134751773e-06
16, 16384, 4.765390070921986e-06
32, 16384, 5.277446808510638e-06
64, 16384, 6.301560283687944e-06
128, 16384, 8.349787234042554e-06
256, 16384, 1.2446241134751773e-05
512, 16384, 2.4891063829787236e-05
