B, M, K, N, latency
1, 24, 8192, 8192, 6.64127659574468e-05
1, 24, 8192, 2048, 1.6999290780141845e-05
8, 64, 128, 64, 2.2090780141843973e-07
8, 64, 64, 128, 2.31177304964539e-07
8, 8, 128, 1, 9.0625e-09
8, 8, 1, 128, 3.395035460992908e-08
8, 8, 128, 2, 4.337178634751773e-08
8, 8, 2, 128, 3.536879432624113e-08
8, 8, 128, 4, 4.560882092198582e-08
8, 8, 4, 128, 3.8205673758865245e-08
8, 8, 128, 8, 5.1501329787234044e-08
8, 8, 8, 128, 4.3879432624113474e-08
8, 8, 128, 16, 6.186790780141844e-08
8, 8, 16, 128, 5.5936170212765955e-08
8, 8, 128, 32, 8.969326241134751e-08
8, 8, 32, 128, 7.863120567375886e-08
8, 8, 128, 64, 1.233581560283688e-07
8, 8, 64, 128, 1.1834751773049645e-07
8, 8, 128, 128, 1.9352482269503545e-07
8, 8, 128, 256, 3.3243971631205674e-07
8, 8, 256, 128, 3.3395035460992906e-07
8, 8, 128, 512, 6.116879432624113e-07
8, 8, 512, 128, 6.091276595744681e-07
8, 8, 128, 1024, 1.1630921985815603e-06
8, 8, 1024, 128, 1.178631205673759e-06
8, 8, 128, 2048, 2.263063829787234e-06
8, 8, 2048, 128, 2.273666666666667e-06
8, 8, 128, 4096, 4.458751773049645e-06
8, 8, 4096, 128, 4.463737588652483e-06
8, 8, 128, 8192, 8.827432624113475e-06
8, 8, 8192, 128, 8.843879432624113e-06
8, 8, 128, 16384, 1.7536425531914894e-05
8, 8, 16384, 128, 1.756373758865248e-05
8, 8, 128, 32768, 3.495441134751773e-05
8, 8, 32768, 128, 3.4993524822695036e-05
8, 8, 128, 65536, 6.979038297872341e-05
8, 8, 65536, 128, 6.985309929078014e-05
8, 8, 128, 131072, 0.00013946232624113475
8, 8, 131072, 128, 0.00013957224822695036
1, 24, 8192, 28672, 0.0002309390070921986
1, 24, 28672, 8192, 0.00023203475177304965
1, 48, 8192, 8192, 6.684184397163121e-05
1, 48, 8192, 2048, 1.7343971631205675e-05
8, 128, 128, 64, 3.4252482269503547e-07
8, 128, 64, 128, 3.595177304964539e-07
1, 48, 8192, 28672, 0.00023182624113475176
1, 48, 28672, 8192, 0.00023401843971631206
1, 96, 8192, 8192, 6.787304964539007e-05
1, 96, 8192, 2048, 1.8136879432624112e-05
8, 256, 128, 64, 5.609361702127659e-07
8, 256, 64, 128, 6.126524822695035e-07
1, 96, 8192, 28672, 0.00023366028368794326
1, 96, 28672, 8192, 0.00023826950354609929
1, 192, 8192, 8192, 8.418014184397164e-05
1, 192, 8192, 2048, 2.4134751773049645e-05
8, 512, 128, 64, 9.580425531914892e-07
8, 512, 64, 128, 1.0678581560283686e-06
