M, N, latency
33, 28672, 3.573787234042553e-06
65, 28672, 7.024340425531915e-06
129, 28672, 1.3925446808510637e-05
257, 28672, 2.7727659574468085e-05
65, 14336, 3.5121702127659575e-06
129, 14336, 6.962723404255319e-06
257, 14336, 1.3863829787234043e-05
129, 7168, 3.5121702127659575e-06
257, 7168, 6.962723404255319e-06
257, 3584, 3.5121702127659575e-06
9, 28672, 9.85872340425532e-07
17, 28672, 1.8485106382978723e-06
17, 14336, 9.242553191489361e-07
33, 14336, 1.7868936170212764e-06
33, 7168, 9.242553191489361e-07
65, 7168, 1.7868936170212764e-06
65, 3584, 9.242553191489361e-07
129, 3584, 1.7868936170212764e-06
129, 1792, 9.242553191489361e-07
257, 1792, 1.7868936170212764e-06
257, 896, 9.242553191489361e-07
258, 28672, 2.7850893617021275e-05
258, 14336, 1.3925446808510637e-05
258, 7168, 6.962723404255319e-06
258, 3584, 3.5121702127659575e-06
258, 1792, 1.7868936170212764e-06
258, 896, 9.242553191489361e-07
130, 28672, 1.404868085106383e-05
260, 28672, 2.8035744680851067e-05
130, 14336, 7.024340425531915e-06
260, 14336, 1.404868085106383e-05
130, 7168, 3.5121702127659575e-06
260, 7168, 7.024340425531915e-06
260, 3584, 3.5121702127659575e-06
130, 3584, 1.7868936170212764e-06
130, 1792, 9.242553191489361e-07
260, 1792, 1.7868936170212764e-06
260, 896, 9.242553191489361e-07
66, 28672, 7.147574468085106e-06
132, 28672, 1.4233531914893617e-05
264, 28672, 2.8467063829787234e-05
66, 14336, 3.573787234042553e-06
132, 14336, 7.147574468085106e-06
264, 14336, 1.4233531914893617e-05
132, 7168, 3.573787234042553e-06
264, 7168, 7.147574468085106e-06
264, 3584, 3.573787234042553e-06
66, 7168, 1.7868936170212764e-06
66, 3584, 9.242553191489361e-07
132, 3584, 1.7868936170212764e-06
132, 1792, 9.242553191489361e-07
264, 1792, 1.7868936170212764e-06
264, 896, 9.242553191489361e-07
34, 28672, 3.6970212765957446e-06
68, 28672, 7.332425531914894e-06
136, 28672, 1.4664851063829787e-05
272, 28672, 2.9329702127659575e-05
68, 14336, 3.6970212765957446e-06
136, 14336, 7.332425531914894e-06
272, 14336, 1.4664851063829787e-05
136, 7168, 3.6970212765957446e-06
272, 7168, 7.332425531914894e-06
272, 3584, 3.6970212765957446e-06
34, 14336, 1.8485106382978723e-06
34, 7168, 9.242553191489361e-07
68, 7168, 1.8485106382978723e-06
68, 3584, 9.242553191489361e-07
136, 3584, 1.8485106382978723e-06
136, 1792, 9.242553191489361e-07
272, 1792, 1.8485106382978723e-06
272, 896, 9.242553191489361e-07
36, 28672, 3.8818723404255325e-06
72, 28672, 7.763744680851065e-06
144, 28672, 1.552748936170213e-05
288, 28672, 3.105497872340426e-05
72, 14336, 3.8818723404255325e-06
144, 14336, 7.763744680851065e-06
288, 14336, 1.552748936170213e-05
144, 7168, 3.8818723404255325e-06
288, 7168, 7.763744680851065e-06
288, 3584, 3.8818723404255325e-06
18, 28672, 1.971744680851064e-06
18, 14336, 9.85872340425532e-07
36, 14336, 1.971744680851064e-06
36, 7168, 9.85872340425532e-07
72, 7168, 1.971744680851064e-06
72, 3584, 9.85872340425532e-07
144, 3584, 1.971744680851064e-06
144, 1792, 9.85872340425532e-07
288, 1792, 1.971744680851064e-06
288, 896, 9.85872340425532e-07
40, 28672, 4.313191489361702e-06
80, 28672, 8.626382978723404e-06
160, 28672, 1.725276595744681e-05
320, 28672, 3.450553191489362e-05
80, 14336, 4.313191489361702e-06
160, 14336, 8.626382978723404e-06
320, 14336, 1.725276595744681e-05
160, 7168, 4.313191489361702e-06
320, 7168, 8.626382978723404e-06
320, 3584, 4.313191489361702e-06
10, 28672, 1.1091063829787235e-06
20, 28672, 2.156595744680851e-06
20, 14336, 1.1091063829787235e-06
40, 14336, 2.156595744680851e-06
40, 7168, 1.1091063829787235e-06
80, 7168, 2.156595744680851e-06
80, 3584, 1.1091063829787235e-06
160, 3584, 2.156595744680851e-06
160, 1792, 1.1091063829787235e-06
320, 1792, 2.156595744680851e-06
320, 896, 1.1091063829787235e-06
48, 28672, 5.175829787234042e-06
96, 28672, 1.0351659574468084e-05
192, 28672, 2.070331914893617e-05
384, 28672, 4.140663829787234e-05
96, 14336, 5.175829787234042e-06
192, 14336, 1.0351659574468084e-05
384, 14336, 2.070331914893617e-05
192, 7168, 5.175829787234042e-06
384, 7168, 1.0351659574468084e-05
384, 3584, 5.175829787234042e-06
12, 28672, 1.2939574468085106e-06
24, 28672, 2.587914893617021e-06
24, 14336, 1.2939574468085106e-06
48, 14336, 2.587914893617021e-06
48, 7168, 1.2939574468085106e-06
96, 7168, 2.587914893617021e-06
96, 3584, 1.2939574468085106e-06
192, 3584, 2.587914893617021e-06
