M, N, latency
33, 28672, 2.3825248226950355e-06
65, 28672, 4.682893617021277e-06
129, 28672, 9.283631205673759e-06
257, 28672, 1.8485106382978724e-05
65, 14336, 2.3414468085106386e-06
129, 14336, 4.641815602836879e-06
257, 14336, 9.242553191489362e-06
129, 7168, 2.3414468085106386e-06
257, 7168, 4.641815602836879e-06
257, 3584, 2.3414468085106386e-06
9, 28672, 6.572482269503546e-07
17, 28672, 1.2323404255319147e-06
17, 14336, 6.161702127659574e-07
33, 14336, 1.1912624113475178e-06
33, 7168, 6.161702127659574e-07
65, 7168, 1.1912624113475178e-06
65, 3584, 6.161702127659574e-07
129, 3584, 1.1912624113475178e-06
129, 1792, 6.161702127659574e-07
257, 1792, 1.1912624113475178e-06
257, 896, 6.161702127659574e-07
258, 28672, 1.8567262411347518e-05
258, 14336, 9.283631205673759e-06
258, 7168, 4.641815602836879e-06
258, 3584, 2.3414468085106386e-06
258, 1792, 1.1912624113475178e-06
258, 896, 6.161702127659574e-07
130, 28672, 9.365787234042554e-06
260, 28672, 1.8690496453900707e-05
130, 14336, 4.682893617021277e-06
260, 14336, 9.365787234042554e-06
130, 7168, 2.3414468085106386e-06
260, 7168, 4.682893617021277e-06
260, 3584, 2.3414468085106386e-06
130, 3584, 1.1912624113475178e-06
130, 1792, 6.161702127659574e-07
260, 1792, 1.1912624113475178e-06
260, 896, 6.161702127659574e-07
66, 28672, 4.765049645390071e-06
132, 28672, 9.489021276595743e-06
264, 28672, 1.8978042553191487e-05
66, 14336, 2.3825248226950355e-06
132, 14336, 4.765049645390071e-06
264, 14336, 9.489021276595743e-06
132, 7168, 2.3825248226950355e-06
264, 7168, 4.765049645390071e-06
264, 3584, 2.3825248226950355e-06
66, 7168, 1.1912624113475178e-06
66, 3584, 6.161702127659574e-07
132, 3584, 1.1912624113475178e-06
132, 1792, 6.161702127659574e-07
264, 1792, 1.1912624113475178e-06
264, 896, 6.161702127659574e-07
34, 28672, 2.4646808510638294e-06
68, 28672, 4.888283687943262e-06
136, 28672, 9.776567375886524e-06
272, 28672, 1.9553134751773048e-05
68, 14336, 2.4646808510638294e-06
136, 14336, 4.888283687943262e-06
272, 14336, 9.776567375886524e-06
136, 7168, 2.4646808510638294e-06
272, 7168, 4.888283687943262e-06
272, 3584, 2.4646808510638294e-06
34, 14336, 1.2323404255319147e-06
34, 7168, 6.161702127659574e-07
68, 7168, 1.2323404255319147e-06
68, 3584, 6.161702127659574e-07
136, 3584, 1.2323404255319147e-06
136, 1792, 6.161702127659574e-07
272, 1792, 1.2323404255319147e-06
272, 896, 6.161702127659574e-07
36, 28672, 2.587914893617021e-06
72, 28672, 5.175829787234042e-06
144, 28672, 1.0351659574468084e-05
288, 28672, 2.070331914893617e-05
72, 14336, 2.587914893617021e-06
144, 14336, 5.175829787234042e-06
288, 14336, 1.0351659574468084e-05
144, 7168, 2.587914893617021e-06
288, 7168, 5.175829787234042e-06
288, 3584, 2.587914893617021e-06
18, 28672, 1.3144964539007092e-06
18, 14336, 6.572482269503546e-07
36, 14336, 1.3144964539007092e-06
36, 7168, 6.572482269503546e-07
72, 7168, 1.3144964539007092e-06
72, 3584, 6.572482269503546e-07
144, 3584, 1.3144964539007092e-06
144, 1792, 6.572482269503546e-07
288, 1792, 1.3144964539007092e-06
288, 896, 6.572482269503546e-07
40, 28672, 2.8754609929078014e-06
80, 28672, 5.750921985815603e-06
160, 28672, 1.1501843971631206e-05
320, 28672, 2.300368794326241e-05
80, 14336, 2.8754609929078014e-06
160, 14336, 5.750921985815603e-06
320, 14336, 1.1501843971631206e-05
160, 7168, 2.8754609929078014e-06
320, 7168, 5.750921985815603e-06
320, 3584, 2.8754609929078014e-06
10, 28672, 7.394042553191489e-07
20, 28672, 1.4377304964539007e-06
20, 14336, 7.394042553191489e-07
40, 14336, 1.4377304964539007e-06
40, 7168, 7.394042553191489e-07
80, 7168, 1.4377304964539007e-06
80, 3584, 7.394042553191489e-07
160, 3584, 1.4377304964539007e-06
160, 1792, 7.394042553191489e-07
320, 1792, 1.4377304964539007e-06
320, 896, 7.394042553191489e-07
48, 28672, 3.4505531914893616e-06
96, 28672, 6.901106382978723e-06
192, 28672, 1.3802212765957446e-05
384, 28672, 2.7604425531914893e-05
96, 14336, 3.4505531914893616e-06
192, 14336, 6.901106382978723e-06
384, 14336, 1.3802212765957446e-05
192, 7168, 3.4505531914893616e-06
384, 7168, 6.901106382978723e-06
384, 3584, 3.4505531914893616e-06
12, 28672, 8.626382978723404e-07
24, 28672, 1.7252765957446808e-06
24, 14336, 8.626382978723404e-07
48, 14336, 1.7252765957446808e-06
48, 7168, 8.626382978723404e-07
96, 7168, 1.7252765957446808e-06
96, 3584, 8.626382978723404e-07
192, 3584, 1.7252765957446808e-06
192, 1792, 8.626382978723404e-07
384, 1792, 1.7252765957446808e-06
384, 896, 8.626382978723404e-07
64, 28672, 4.600737588652482e-06
128, 28672, 9.201475177304963e-06
256, 28672, 1.8402950354609926e-05
512, 28672, 3.680590070921985e-05
128, 14336, 4.600737588652482e-06
256, 14336, 9.201475177304963e-06
512, 14336, 1.8402950354609926e-05
256, 7168, 4.600737588652482e-06
512, 7168, 9.201475177304963e-06
512, 3584, 4.600737588652482e-06
16, 28672, 1.1501843971631204e-06
32, 28672, 2.300368794326241e-06
32, 14336, 1.1501843971631204e-06
64, 14336, 2.300368794326241e-06
64, 7168, 1.1501843971631204e-06
128, 7168, 2.300368794326241e-06
128, 3584, 1.1501843971631204e-06
256, 3584, 2.300368794326241e-06
256, 1792, 1.1501843971631204e-06
512, 1792, 2.300368794326241e-06
512, 896, 1.1501843971631204e-06
768, 28672, 5.5208851063829786e-05
768, 14336, 2.7604425531914893e-05
768, 7168, 1.3802212765957446e-05
768, 3584, 6.901106382978723e-06
768, 1792, 3.4505531914893616e-06
768, 896, 1.7252765957446808e-06
513, 28672, 3.688805673758866e-05
513, 14336, 1.844402836879433e-05
513, 7168, 9.242553191489362e-06
513, 3584, 4.641815602836879e-06
513, 1792, 2.3414468085106386e-06
513, 896, 1.1912624113475178e-06
514, 28672, 3.697021276595745e-05
514, 14336, 1.8485106382978724e-05
514, 7168, 9.242553191489362e-06
514, 3584, 4.641815602836879e-06
514, 1792, 2.3414468085106386e-06
514, 896, 1.1912624113475178e-06
516, 28672, 3.709344680851063e-05
516, 14336, 1.8567262411347518e-05
516, 7168, 9.283631205673759e-06
516, 3584, 4.641815602836879e-06
516, 1792, 2.3414468085106386e-06
516, 896, 1.1912624113475178e-06
520, 28672, 3.738099290780141e-05
520, 14336, 1.8690496453900707e-05
520, 7168, 9.365787234042554e-06
520, 3584, 4.682893617021277e-06
520, 1792, 2.3414468085106386e-06
520, 896, 1.1912624113475178e-06
528, 28672, 3.7956085106382974e-05
528, 14336, 1.8978042553191487e-05
528, 7168, 9.489021276595743e-06
528, 3584, 4.765049645390071e-06
528, 1792, 2.3825248226950355e-06
528, 896, 1.1912624113475178e-06
544, 28672, 3.9106269503546095e-05
544, 14336, 1.9553134751773048e-05
544, 7168, 9.776567375886524e-06
544, 3584, 4.888283687943262e-06
544, 1792, 2.4646808510638294e-06
544, 896, 1.2323404255319147e-06
576, 28672, 4.140663829787234e-05
576, 14336, 2.070331914893617e-05
576, 7168, 1.0351659574468084e-05
576, 3584, 5.175829787234042e-06
576, 1792, 2.587914893617021e-06
576, 896, 1.3144964539007092e-06
640, 28672, 4.600737588652482e-05
640, 14336, 2.300368794326241e-05
640, 7168, 1.1501843971631206e-05
640, 3584, 5.750921985815603e-06
640, 1792, 2.8754609929078014e-06
640, 896, 1.4377304964539007e-06
1024, 28672, 7.36118014184397e-05
