M, N, latency
2048, 256, 1.7234042553191488e-06
64, 1, 5.673758865248227e-09
4096, 256, 3.405673758865248e-06
8192, 256, 6.764539007092199e-06
16384, 256, 1.344822695035461e-05
2048, 256, 1.7234042553191488e-06
4096, 256, 3.405673758865248e-06
8192, 256, 6.764539007092199e-06
2048, 256, 1.7234042553191488e-06
4096, 256, 3.405673758865248e-06
2048, 256, 1.7234042553191488e-06
512, 256, 4.624113475177305e-07
1024, 256, 8.822695035460993e-07
512, 256, 4.624113475177305e-07
1024, 256, 8.822695035460993e-07
512, 256, 4.624113475177305e-07
1024, 256, 8.822695035460993e-07
512, 256, 4.624113475177305e-07
1024, 256, 8.822695035460993e-07
512, 256, 4.624113475177305e-07
1024, 256, 8.822695035460993e-07
512, 256, 4.624113475177305e-07
64, 2, 5.673758865248227e-09
64, 4, 5.673758865248227e-09
64, 8, 6.6511524822695044e-09
64, 16, 1.0465425531914893e-08
64, 32, 1.6675531914893616e-08
64, 64, 2.9095744680851064e-08
64, 128, 5.5354609929078014e-08
64, 256, 1.0645390070921986e-07
64, 512, 2.100709219858156e-07
64, 1024, 4.1588652482269503e-07
64, 2048, 8.275177304964539e-07
64, 4096, 1.6507801418439716e-06
64, 8192, 3.301560283687943e-06
64, 16384, 6.603120567375886e-06
64, 32768, 1.3203404255319148e-05
4096, 512, 6.764539007092199e-06
8192, 512, 1.344822695035461e-05
16384, 512, 2.6802836879432624e-05
32768, 512, 5.344539007092199e-05
4096, 512, 6.764539007092199e-06
8192, 512, 1.344822695035461e-05
16384, 512, 2.6802836879432624e-05
4096, 512, 6.764539007092199e-06
8192, 512, 1.344822695035461e-05
4096, 512, 6.764539007092199e-06
1024, 512, 1.75177304964539e-06
2048, 512, 3.4226950354609928e-06
1024, 512, 1.75177304964539e-06
2048, 512, 3.4226950354609928e-06
1024, 512, 1.75177304964539e-06
2048, 512, 3.4226950354609928e-06
1024, 512, 1.75177304964539e-06
2048, 512, 3.4226950354609928e-06
1024, 512, 1.75177304964539e-06
2048, 512, 3.4226950354609928e-06
1024, 512, 1.75177304964539e-06
8192, 1024, 2.6802836879432624e-05
16384, 1024, 5.344539007092199e-05
32768, 1024, 0.00010689078014184398
65536, 1024, 0.00021362127659574467
8192, 1024, 2.6802836879432624e-05
16384, 1024, 5.344539007092199e-05
32768, 1024, 0.00010689078014184398
8192, 1024, 2.6802836879432624e-05
16384, 1024, 5.344539007092199e-05
8192, 1024, 2.6802836879432624e-05
2048, 1024, 6.821276595744681e-06
4096, 1024, 1.34822695035461e-05
2048, 1024, 6.821276595744681e-06
4096, 1024, 1.34822695035461e-05
2048, 1024, 6.821276595744681e-06
4096, 1024, 1.34822695035461e-05
2048, 1024, 6.821276595744681e-06
4096, 1024, 1.34822695035461e-05
2048, 1024, 6.821276595744681e-06
4096, 1024, 1.34822695035461e-05
2048, 1024, 6.821276595744681e-06
16384, 2048, 0.00010702695035460992
32768, 2048, 0.00021373475177304964
65536, 2048, 0.0004274695035460993
131072, 2048, 0.0008546198581560284
16384, 2048, 0.00010702695035460992
32768, 2048, 0.00021373475177304964
65536, 2048, 0.0004274695035460993
16384, 2048, 0.00010702695035460992
32768, 2048, 0.00021373475177304964
16384, 2048, 0.00010702695035460992
4096, 2048, 2.691631205673759e-05
8192, 2048, 5.351347517730496e-05
4096, 2048, 2.691631205673759e-05
8192, 2048, 5.351347517730496e-05
4096, 2048, 2.691631205673759e-05
8192, 2048, 5.351347517730496e-05
4096, 2048, 2.691631205673759e-05
8192, 2048, 5.351347517730496e-05
4096, 2048, 2.691631205673759e-05
8192, 2048, 5.351347517730496e-05
4096, 2048, 2.691631205673759e-05
1024, 256, 8.822695035460993e-07
128, 1, 5.673758865248227e-09
2048, 256, 1.7234042553191488e-06
4096, 256, 3.405673758865248e-06
8192, 256, 6.764539007092199e-06
16384, 256, 1.344822695035461e-05
32768, 256, 2.6802836879432624e-05
256, 256, 2.524822695035461e-07
512, 256, 4.624113475177305e-07
256, 256, 2.524822695035461e-07
256, 256, 2.524822695035461e-07
256, 256, 2.524822695035461e-07
256, 256, 2.524822695035461e-07
256, 256, 2.524822695035461e-07
256, 256, 2.524822695035461e-07
256, 256, 2.524822695035461e-07
128, 2, 5.673758865248227e-09
128, 4, 5.673758865248227e-09
128, 8, 8.51063829787234e-09
128, 16, 1.2765957446808511e-08
128, 32, 2.127659574468085e-08
128, 64, 3.9716312056737585e-08
128, 128, 7.517730496453901e-08
128, 256, 1.475177304964539e-07
128, 512, 2.907801418439716e-07
128, 1024, 5.773049645390071e-07
128, 2048, 1.150354609929078e-06
128, 4096, 2.300709219858156e-06
128, 8192, 4.601418439716312e-06
128, 16384, 9.2e-06
128, 32768, 1.8397163120567377e-05
2048, 512, 3.4226950354609928e-06
4096, 512, 6.764539007092199e-06
8192, 512, 1.344822695035461e-05
16384, 512, 2.6802836879432624e-05
32768, 512, 5.344539007092199e-05
65536, 512, 0.00010689078014184398
512, 512, 9.163120567375887e-07
1024, 512, 1.75177304964539e-06
512, 512, 9.163120567375887e-07
512, 512, 9.163120567375887e-07
512, 512, 9.163120567375887e-07
512, 512, 9.163120567375887e-07
512, 512, 9.163120567375887e-07
512, 512, 9.163120567375887e-07
512, 512, 9.163120567375887e-07
4096, 1024, 1.34822695035461e-05
8192, 1024, 2.6802836879432624e-05
16384, 1024, 5.344539007092199e-05
32768, 1024, 0.00010689078014184398
65536, 1024, 0.00021362127659574467
131072, 1024, 0.00042724255319148935
1024, 1024, 3.4907801418439717e-06
2048, 1024, 6.821276595744681e-06
1024, 1024, 3.4907801418439717e-06
1024, 1024, 3.4907801418439717e-06
1024, 1024, 3.4907801418439717e-06
1024, 1024, 3.4907801418439717e-06
1024, 1024, 3.4907801418439717e-06
1024, 1024, 3.4907801418439717e-06
1024, 1024, 3.4907801418439717e-06
8192, 2048, 5.351347517730496e-05
16384, 2048, 0.00010702695035460992
32768, 2048, 0.00021373475177304964
65536, 2048, 0.0004274695035460993
131072, 2048, 0.0008546198581560284
262144, 2048, 0.0017092397163120567
2048, 2048, 1.3618439716312057e-05
4096, 2048, 2.691631205673759e-05
2048, 2048, 1.3618439716312057e-05
2048, 2048, 1.3618439716312057e-05
2048, 2048, 1.3618439716312057e-05
2048, 2048, 1.3618439716312057e-05
