M, N, latency
33, 8192, 6.967882416984213e-07
65, 8192, 8.39412084921067e-07
129, 8192, 1.1235710397387044e-06
257, 8192, 1.692977681001633e-06
9, 8192, 5.900925421883506e-07
17, 8192, 6.260206859009254e-07
258, 8192, 1.6973326075122483e-06
130, 8192, 1.1279259662493195e-06
260, 8192, 1.7060424605334784e-06
66, 8192, 8.437670114316821e-07
132, 8192, 1.1366358192705498e-06
264, 8192, 1.723462166575939e-06
34, 8192, 7.011431682090364e-07
68, 8192, 8.524768644529124e-07
136, 8192, 1.1551442569406642e-06
272, 8192, 1.7593903102885139e-06
36, 8192, 7.098530212302668e-07
72, 8192, 8.698965704953729e-07
144, 8192, 1.1899836690255853e-06
288, 8192, 1.8301578660860097e-06
18, 8192, 6.303756124115406e-07
40, 8192, 7.28361458900381e-07
80, 8192, 9.058247142079477e-07
160, 8192, 1.2618399564507348e-06
320, 8192, 1.9727817093086554e-06
10, 8192, 5.944474686989657e-07
20, 8192, 6.390854654327708e-07
48, 8192, 7.632008709853021e-07
96, 8192, 9.765922700054437e-07
192, 8192, 1.4033750680457268e-06
384, 8192, 2.2569406641262927e-06
12, 8192, 6.03157321720196e-07
24, 8192, 6.565051714752313e-07
64, 8192, 8.350571584104518e-07
128, 8192, 1.1192161132280894e-06
256, 8192, 1.688622754491018e-06
512, 8192, 2.8263473053892217e-06
16, 8192, 6.216657593903102e-07
32, 8192, 6.924333151878062e-07
768, 8192, 3.964071856287425e-06
513, 8192, 2.8307022318998366e-06
514, 8192, 2.835057158410452e-06
516, 8192, 2.843767011431682e-06
520, 8192, 2.8611867174741426e-06
528, 8192, 2.8971148611867176e-06
544, 8192, 2.9678824169842135e-06
576, 8192, 3.110506260206859e-06
640, 8192, 3.3946652150244966e-06
1024, 8192, 5.101796407185628e-06
1025, 8192, 5.106151333696244e-06
1026, 8192, 5.110506260206859e-06
1028, 8192, 5.119216113228089e-06
1032, 8192, 5.13663581927055e-06
1040, 8192, 5.172563962983125e-06
1056, 8192, 5.243331518780621e-06
1088, 8192, 5.935764833968427e-06
1152, 8192, 6.219923788786064e-06
1280, 8192, 6.789330430048993e-06
1536, 8192, 7.927054980947196e-06
2049, 8192, 1.075666848121938e-05
2050, 8192, 1.0761023407729994e-05
2052, 8192, 1.0770821992378879e-05
2056, 8192, 1.0788241698421338e-05
2064, 8192, 1.0824169842133914e-05
2080, 8192, 1.089493739793141e-05
2112, 8192, 1.1037561241154055e-05
2176, 8192, 1.1321720195971693e-05
2304, 8192, 1.1890038105606969e-05
2560, 8192, 1.3027762656505171e-05
9, 16384, 6.303756124115406e-07
17, 16384, 7.011431682090364e-07
33, 16384, 8.437670114316821e-07
65, 16384, 1.1279259662493195e-06
129, 16384, 1.6973326075122483e-06
257, 16384, 2.835057158410452e-06
3, 16384, 5.639629831246597e-07
5, 16384, 5.944474686989657e-07
258, 16384, 2.843767011431682e-06
130, 16384, 1.7060424605334784e-06
260, 16384, 2.8611867174741426e-06
66, 16384, 1.1366358192705498e-06
132, 16384, 1.723462166575939e-06
264, 16384, 2.8971148611867176e-06
34, 16384, 8.524768644529124e-07
68, 16384, 1.1551442569406642e-06
136, 16384, 1.7593903102885139e-06
272, 16384, 2.9678824169842135e-06
18, 16384, 7.098530212302668e-07
36, 16384, 8.698965704953729e-07
72, 16384, 1.1899836690255853e-06
144, 16384, 1.8301578660860097e-06
288, 16384, 3.110506260206859e-06
10, 16384, 6.390854654327708e-07
20, 16384, 7.28361458900381e-07
40, 16384, 9.058247142079477e-07
80, 16384, 1.2618399564507348e-06
160, 16384, 1.9727817093086554e-06
320, 16384, 3.3946652150244966e-06
12, 16384, 6.565051714752313e-07
24, 16384, 7.632008709853021e-07
48, 16384, 9.765922700054437e-07
96, 16384, 1.4033750680457268e-06
192, 16384, 2.2569406641262927e-06
384, 16384, 3.964071856287425e-06
6, 16384, 6.03157321720196e-07
16, 16384, 6.924333151878062e-07
32, 16384, 8.350571584104518e-07
64, 16384, 1.1192161132280894e-06
128, 16384, 1.688622754491018e-06
256, 16384, 2.8263473053892217e-06
512, 16384, 5.101796407185628e-06
4, 16384, 5.857376156777354e-07
8, 16384, 6.216657593903102e-07
768, 16384, 7.927054980947196e-06
513, 16384, 5.110506260206859e-06
514, 16384, 5.119216113228089e-06
516, 16384, 5.13663581927055e-06
520, 16384, 5.172563962983125e-06
528, 16384, 5.243331518780621e-06
544, 16384, 5.935764833968427e-06
576, 16384, 6.219923788786064e-06
640, 16384, 6.789330430048993e-06
1024, 16384, 1.0752313554708764e-05
1025, 16384, 1.0761023407729994e-05
1026, 16384, 1.0770821992378879e-05
1028, 16384, 1.0788241698421338e-05
1032, 16384, 1.0824169842133914e-05
1040, 16384, 1.089493739793141e-05
1056, 16384, 1.1037561241154055e-05
1088, 16384, 1.1321720195971693e-05
1152, 16384, 1.1890038105606969e-05
1280, 16384, 1.3027762656505171e-05
1536, 16384, 1.5854109961894392e-05
2049, 16384, 2.09635274904736e-05
2050, 16384, 2.097223734349483e-05
2052, 16384, 2.0990745781164943e-05
2056, 16384, 2.1025585193249865e-05
2064, 16384, 2.1097441480675014e-05
2080, 16384, 2.1238976592270006e-05
2112, 16384, 2.1524224278715295e-05
2176, 16384, 2.2642351660315733e-05
2304, 16384, 2.3780076211213937e-05
2560, 16384, 2.6606423516603158e-05
257, 5120, 1.2291780076211214e-06
258, 5120, 1.2324442025040827e-06
260, 5120, 1.2378878606423517e-06
264, 5120, 1.2487751769188895e-06
272, 5120, 1.2705498094719652e-06
288, 5120, 1.3151878062057703e-06
320, 5120, 1.4044637996733805e-06
384, 5120, 1.581927054980947e-06
512, 5120, 1.937942297223734e-06
768, 5120, 2.648884050081655e-06
513, 5120, 1.940119760479042e-06
514, 5120, 1.943385955362003e-06
516, 5120, 1.948829613500272e-06
520, 5120, 1.95971692977681e-06
528, 5120, 1.9825802939575393e-06
544, 5120, 2.0261295590636907e-06
576, 5120, 2.115405552531301e-06
640, 5120, 2.2928688078388677e-06
1024, 5120, 3.3598258029395753e-06
1025, 5120, 3.363091997822537e-06
1026, 5120, 3.3652694610778443e-06
1028, 5120, 3.3707131192161133e-06
1032, 5120, 3.382689167120305e-06
1040, 5120, 3.4044637996733804e-06
1056, 5120, 3.4491017964071856e-06
1088, 5120, 3.537289058247142e-06
1152, 5120, 3.7158410451823626e-06
1280, 5120, 4.070767555797496e-06
1536, 5120, 4.781709308655416e-06
2049, 5120, 6.721829069134458e-06
2050, 5120, 6.72509526401742e-06
2052, 5120, 6.730538922155689e-06
2056, 5120, 6.7414262384322266e-06
2064, 5120, 6.764289602612956e-06
2080, 5120, 6.807838867719107e-06
2112, 5120, 6.897114861186717e-06
2176, 5120, 7.074578116494284e-06
2304, 5120, 7.4305933587370714e-06
2560, 5120, 8.141535111594992e-06
257, 7168, 1.7016875340228634e-06
258, 7168, 1.7060424605334784e-06
260, 7168, 1.713663581927055e-06
264, 7168, 1.728905824714208e-06
272, 7168, 1.7604790419161676e-06
288, 7168, 1.8225367446924333e-06
320, 7168, 1.9477408818726184e-06
384, 7168, 2.195971692977681e-06
512, 7168, 2.69352204681546e-06
768, 7168, 3.689711486118672e-06
513, 7168, 2.6978769733260753e-06
514, 7168, 2.7011431682090365e-06
516, 7168, 2.7098530212302666e-06
520, 7168, 2.72509526401742e-06
528, 7168, 2.755579749591726e-06
544, 7168, 2.818726183995645e-06
576, 7168, 2.9428415895481764e-06
640, 7168, 3.192161132280893e-06
1024, 7168, 4.68481219379423e-06
1025, 7168, 4.689167120304845e-06
1026, 7168, 4.692433315187806e-06
1028, 7168, 4.700054436581383e-06
1032, 7168, 4.716385410996189e-06
1040, 7168, 4.746869896570496e-06
1056, 7168, 4.808927599346761e-06
1088, 7168, 4.934131736526946e-06
1152, 7168, 5.182362547632009e-06
1280, 7168, 6.383233532934132e-06
1536, 7168, 7.37833424060969e-06
2049, 7168, 1.0076211213935766e-05
2050, 7168, 1.0079477408818727e-05
2052, 7168, 1.0088187261839957e-05
2056, 7168, 1.010342950462711e-05
2064, 7168, 1.0133913990201416e-05
2080, 7168, 1.0197060424605334e-05
2112, 7168, 1.0321175830157866e-05
2176, 7168, 1.0570495372890583e-05
2304, 7168, 1.1068045726728361e-05
2560, 7168, 1.2063146434403919e-05
