B, M, K, N, latency
1, 24, 8192, 8192, 1.8997278170930864e-05
1, 24, 8192, 2048, 5.01578660860098e-06
8, 64, 128, 64, 1.1828403798463679e-07
8, 64, 64, 128, 1.1354140204439605e-07
8, 8, 128, 1, 2.517361111111111e-09
8, 8, 1, 128, 3.025146676344281e-08
8, 8, 128, 2, 3.7591623098499965e-08
8, 8, 2, 128, 3.13401983910966e-08
8, 8, 128, 4, 3.816637085677131e-08
8, 8, 4, 128, 3.242893001875038e-08
8, 8, 128, 8, 4.040459800096776e-08
8, 8, 8, 128, 3.460639327405794e-08
8, 8, 128, 16, 4.433668647553378e-08
8, 8, 16, 128, 3.9505685598499966e-08
8, 8, 128, 32, 5.32895950523196e-08
8, 8, 32, 128, 4.821553861973024e-08
8, 8, 128, 64, 6.901794895058368e-08
8, 8, 64, 128, 6.617961047601767e-08
8, 8, 128, 128, 1.0210775418859252e-07
8, 8, 128, 256, 1.6556553559547572e-07
8, 8, 256, 128, 1.6634292022016572e-07
8, 8, 128, 512, 2.67984636787032e-07
8, 8, 512, 128, 2.724942539164096e-07
8, 8, 128, 1024, 4.619355228936067e-07
8, 8, 1024, 128, 4.6628848363878305e-07
8, 8, 128, 2048, 7.817915683783947e-07
8, 8, 2048, 128, 8.119607754188592e-07
8, 8, 128, 4096, 1.4182374644650094e-06
8, 8, 4096, 128, 1.4695546785217446e-06
8, 8, 128, 8192, 2.690584890824412e-06
8, 8, 8192, 128, 2.7243178793927294e-06
8, 8, 128, 16384, 5.114430532873647e-06
8, 8, 16384, 128, 5.145657019294744e-06
8, 8, 128, 32768, 9.962121816972117e-06
8, 8, 32768, 128, 9.988335299098772e-06
8, 8, 128, 65536, 1.9657504385169056e-05
8, 8, 65536, 128, 1.9673691858706826e-05
8, 8, 128, 131072, 3.9048269521562935e-05
8, 8, 131072, 128, 3.904440497792294e-05
1, 24, 8192, 28672, 6.500707675557975e-05
1, 24, 28672, 8192, 6.529286880783886e-05
1, 48, 8192, 8192, 1.9605334784975505e-05
1, 48, 8192, 2048, 5.835057158410452e-06
8, 128, 128, 64, 1.7832093388979617e-07
8, 128, 64, 128, 1.677469303816609e-07
1, 48, 8192, 28672, 6.550626020685901e-05
1, 48, 28672, 8192, 6.682416984213391e-05
1, 96, 8192, 8192, 2.2883505715841044e-05
1, 96, 8192, 2048, 6.869352204681546e-06
8, 256, 128, 64, 2.907736043065384e-07
8, 256, 64, 128, 2.7016996310409486e-07
1, 96, 8192, 28672, 7.386880783886772e-05
1, 96, 28672, 8192, 7.587860642351661e-05
1, 192, 8192, 8192, 3.720685900925422e-05
1, 192, 8192, 2048, 1.0688622754491018e-05
8, 512, 128, 64, 4.884606544486784e-07
8, 512, 64, 128, 4.53241395995887e-07
1, 192, 8192, 28672, 0.00012346706586826347
1, 192, 28672, 8192, 0.00012689058247142079
1, 48, 8192, 4096, 1.0425149700598803e-05
1, 48, 8192, 1024, 3.2291780076211215e-06
4, 128, 128, 64, 1.0465251315550716e-07
4, 128, 64, 128, 1.0097622935946289e-07
4, 8, 128, 1, 1.2586805555555555e-09
4, 8, 1, 128, 2.91403556523317e-08
4, 8, 128, 2, 3.267496966294683e-08
4, 8, 2, 128, 2.91403556523317e-08
4, 8, 128, 4, 3.323235631010706e-08
4, 8, 4, 128, 3.022908727998548e-08
4, 8, 128, 8, 3.434712960442751e-08
4, 8, 8, 128, 3.131781890763927e-08
4, 8, 128, 16, 3.603231037924151e-08
4, 8, 16, 128, 3.349528216294683e-08
4, 8, 128, 32, 4.103576937035021e-08
4, 8, 32, 128, 3.8394574487388856e-08
4, 8, 128, 64, 4.886522409726003e-08
4, 8, 64, 128, 4.710442750861913e-08
4, 8, 128, 128, 6.506849936490655e-08
4, 8, 128, 256, 1.0019687896933406e-07
4, 8, 256, 128, 1.009966430774814e-07
4, 8, 128, 512, 1.628325167846126e-07
4, 8, 512, 128, 1.6523180910905462e-07
4, 8, 128, 1024, 2.6578479404826713e-07
4, 8, 1024, 128, 2.7138314280529847e-07
4, 8, 128, 2048, 4.5862456904373074e-07
4, 8, 2048, 128, 4.651773725276719e-07
4, 8, 128, 4096, 7.849682453275268e-07
4, 8, 4096, 128, 8.108496643077481e-07
4, 8, 128, 8192, 1.4256795499909273e-06
4, 8, 8192, 128, 1.4684435674106333e-06
4, 8, 128, 16384, 2.6913155507167485e-06
4, 8, 16384, 128, 2.7232067682816186e-06
4, 8, 128, 32768, 5.114803121030666e-06
4, 8, 32768, 128, 5.144545908183633e-06
4, 8, 128, 65536, 9.961778261658501e-06
4, 8, 65536, 128, 9.98722418798766e-06
4, 8, 128, 131072, 1.9655728542914172e-05
4, 8, 131072, 128, 1.9672580747595715e-05
1, 48, 4096, 8192, 1.040119760479042e-05
1, 48, 8192, 14336, 3.337561241154056e-05
1, 48, 14336, 8192, 3.4136091453456725e-05
1, 96, 8192, 4096, 1.238704409363092e-05
1, 96, 8192, 1024, 3.941752857920523e-06
4, 256, 128, 64, 1.6630012701868987e-07
4, 256, 64, 128, 1.5894755942660133e-07
1, 96, 4096, 8192, 1.2363091997822538e-05
1, 96, 8192, 14336, 3.817909635274905e-05
1, 96, 14336, 8192, 3.903157321720196e-05
1, 192, 8192, 4096, 1.9812193794229724e-05
1, 192, 8192, 1024, 6.0457267283614586e-06
4, 512, 128, 64, 2.819742333514789e-07
4, 512, 64, 128, 2.683578297949555e-07
1, 192, 4096, 8192, 1.9890582471420794e-05
1, 192, 8192, 14336, 6.308492106695699e-05
1, 192, 14336, 8192, 6.449755035383778e-05
1, 96, 8192, 512, 2.30647795318454e-06
2, 256, 128, 64, 1.0025282767797737e-07
2, 256, 64, 128, 9.979797979797981e-08
2, 8, 128, 1, 6.293402777777778e-10
2, 8, 1, 128, 2.8584800096776145e-08
2, 8, 128, 2, 3.0488825852083715e-08
2, 8, 2, 128, 2.8584800096776145e-08
2, 8, 128, 4, 3.0493166129861494e-08
2, 8, 4, 128, 2.8584800096776145e-08
2, 8, 128, 8, 3.104621249924394e-08
2, 8, 8, 128, 2.967353172442993e-08
2, 8, 128, 16, 3.215230523800883e-08
2, 8, 16, 128, 3.076226335208371e-08
2, 8, 128, 32, 3.490885652936551e-08
2, 8, 32, 128, 3.2939726607391274e-08
2, 8, 128, 64, 3.87888616705982e-08
2, 8, 64, 128, 3.78390189318333e-08
2, 8, 128, 128, 4.654887195306357e-08
2, 8, 128, 256, 6.424635577330187e-08
2, 8, 256, 128, 6.4512943809351e-08
