M, N, latency
33, 28672, 1.3735928143712573e-06
65, 28672, 2.7226571856287426e-06
129, 28672, 5.371729041916168e-06
257, 28672, 1.0718929640718563e-05
65, 14336, 1.3735928143712573e-06
129, 14336, 2.6981287425149697e-06
257, 14336, 5.371729041916168e-06
129, 7168, 1.3490643712574848e-06
257, 7168, 2.6981287425149697e-06
257, 3584, 1.3490643712574848e-06
9, 28672, 3.9245508982035933e-07
17, 28672, 7.113248502994012e-07
17, 14336, 3.6792664670658683e-07
33, 14336, 6.867964071856287e-07
33, 7168, 3.4339820359281434e-07
65, 7168, 6.867964071856287e-07
65, 3584, 3.4339820359281434e-07
129, 3584, 6.867964071856287e-07
129, 1792, 3.4339820359281434e-07
257, 1792, 6.867964071856287e-07
257, 896, 3.4339820359281434e-07
258, 28672, 1.0743458083832336e-05
258, 14336, 5.371729041916168e-06
258, 7168, 2.6981287425149697e-06
258, 3584, 1.3490643712574848e-06
258, 1792, 6.867964071856287e-07
258, 896, 3.4339820359281434e-07
130, 28672, 5.420785928143712e-06
260, 28672, 1.0841571856287425e-05
130, 14336, 2.7226571856287426e-06
260, 14336, 5.420785928143712e-06
130, 7168, 1.3735928143712573e-06
260, 7168, 2.7226571856287426e-06
260, 3584, 1.3735928143712573e-06
130, 3584, 6.867964071856287e-07
130, 1792, 3.4339820359281434e-07
260, 1792, 6.867964071856287e-07
260, 896, 3.4339820359281434e-07
66, 28672, 2.7471856287425147e-06
132, 28672, 5.494371257485029e-06
264, 28672, 1.0988742514970059e-05
66, 14336, 1.3735928143712573e-06
132, 14336, 2.7471856287425147e-06
264, 14336, 5.494371257485029e-06
132, 7168, 1.3735928143712573e-06
264, 7168, 2.7471856287425147e-06
264, 3584, 1.3735928143712573e-06
66, 7168, 6.867964071856287e-07
66, 3584, 3.4339820359281434e-07
132, 3584, 6.867964071856287e-07
132, 1792, 3.4339820359281434e-07
264, 1792, 6.867964071856287e-07
264, 896, 3.4339820359281434e-07
34, 28672, 1.4226497005988023e-06
68, 28672, 2.8452994011976047e-06
136, 28672, 5.666070359281437e-06
272, 28672, 1.1332140718562875e-05
68, 14336, 1.4226497005988023e-06
136, 14336, 2.8452994011976047e-06
272, 14336, 5.666070359281437e-06
136, 7168, 1.4226497005988023e-06
272, 7168, 2.8452994011976047e-06
272, 3584, 1.4226497005988023e-06
34, 14336, 7.113248502994012e-07
34, 7168, 3.6792664670658683e-07
68, 7168, 7.113248502994012e-07
68, 3584, 3.6792664670658683e-07
136, 3584, 7.113248502994012e-07
136, 1792, 3.6792664670658683e-07
272, 1792, 7.113248502994012e-07
272, 896, 3.6792664670658683e-07
36, 28672, 1.5207634730538921e-06
72, 28672, 3.0169985029940117e-06
144, 28672, 6.009468562874252e-06
288, 28672, 1.1994408682634732e-05
72, 14336, 1.5207634730538921e-06
144, 14336, 3.0169985029940117e-06
288, 14336, 6.009468562874252e-06
144, 7168, 1.5207634730538921e-06
288, 7168, 3.0169985029940117e-06
288, 3584, 1.5207634730538921e-06
18, 28672, 7.603817365269461e-07
18, 14336, 3.9245508982035933e-07
36, 14336, 7.603817365269461e-07
36, 7168, 3.9245508982035933e-07
72, 7168, 7.603817365269461e-07
72, 3584, 3.9245508982035933e-07
144, 3584, 7.603817365269461e-07
144, 1792, 3.9245508982035933e-07
288, 1792, 7.603817365269461e-07
288, 896, 3.9245508982035933e-07
40, 28672, 1.667934131736527e-06
80, 28672, 3.335868263473054e-06
160, 28672, 6.671736526946108e-06
320, 28672, 1.3343473053892215e-05
80, 14336, 1.667934131736527e-06
160, 14336, 3.335868263473054e-06
320, 14336, 6.671736526946108e-06
160, 7168, 1.667934131736527e-06
320, 7168, 3.335868263473054e-06
320, 3584, 1.667934131736527e-06
10, 28672, 4.169835329341317e-07
20, 28672, 8.339670658682634e-07
20, 14336, 4.169835329341317e-07
40, 14336, 8.339670658682634e-07
40, 7168, 4.169835329341317e-07
80, 7168, 8.339670658682634e-07
80, 3584, 4.169835329341317e-07
160, 3584, 8.339670658682634e-07
160, 1792, 4.169835329341317e-07
320, 1792, 8.339670658682634e-07
320, 896, 4.169835329341317e-07
48, 28672, 2.0113323353293414e-06
96, 28672, 3.99813622754491e-06
192, 28672, 7.99627245508982e-06
384, 28672, 1.599254491017964e-05
96, 14336, 2.0113323353293414e-06
192, 14336, 3.99813622754491e-06
384, 14336, 7.99627245508982e-06
192, 7168, 2.0113323353293414e-06
384, 7168, 3.99813622754491e-06
384, 3584, 2.0113323353293414e-06
12, 28672, 5.150973053892216e-07
24, 28672, 1.0056661676646707e-06
24, 14336, 5.150973053892216e-07
48, 14336, 1.0056661676646707e-06
48, 7168, 5.150973053892216e-07
96, 7168, 1.0056661676646707e-06
96, 3584, 5.150973053892216e-07
192, 3584, 1.0056661676646707e-06
192, 1792, 5.150973053892216e-07
384, 1792, 1.0056661676646707e-06
384, 896, 5.150973053892216e-07
64, 28672, 2.6736002994011976e-06
128, 28672, 5.347200598802395e-06
256, 28672, 1.0669872754491018e-05
512, 28672, 2.1315217065868266e-05
128, 14336, 2.6736002994011976e-06
256, 14336, 5.347200598802395e-06
512, 14336, 1.0669872754491018e-05
256, 7168, 2.6736002994011976e-06
512, 7168, 5.347200598802395e-06
512, 3584, 2.6736002994011976e-06
16, 28672, 6.867964071856287e-07
32, 28672, 1.3490643712574848e-06
32, 14336, 6.867964071856287e-07
64, 14336, 1.3490643712574848e-06
64, 7168, 6.867964071856287e-07
128, 7168, 1.3490643712574848e-06
128, 3584, 6.867964071856287e-07
256, 3584, 1.3490643712574848e-06
256, 1792, 6.867964071856287e-07
512, 1792, 1.3490643712574848e-06
512, 896, 6.867964071856287e-07
768, 28672, 3.198508982035928e-05
768, 14336, 1.599254491017964e-05
768, 7168, 7.99627245508982e-06
768, 3584, 3.99813622754491e-06
768, 1792, 2.0113323353293414e-06
768, 896, 1.0056661676646707e-06
513, 28672, 2.1364273952095808e-05
513, 14336, 1.069440119760479e-05
513, 7168, 5.347200598802395e-06
513, 3584, 2.6736002994011976e-06
