M, N, latency
33, 28672, 9.157285429141717e-07
65, 28672, 1.8151047904191617e-06
129, 28672, 3.5811526946107783e-06
257, 28672, 7.145953093812375e-06
65, 14336, 9.157285429141717e-07
129, 14336, 1.79875249500998e-06
257, 14336, 3.5811526946107783e-06
129, 7168, 8.9937624750499e-07
257, 7168, 1.79875249500998e-06
257, 3584, 8.9937624750499e-07
9, 28672, 2.616367265469062e-07
17, 28672, 4.742165668662675e-07
17, 14336, 2.4528443113772456e-07
33, 14336, 4.5786427145708585e-07
33, 7168, 2.2893213572854293e-07
65, 7168, 4.5786427145708585e-07
65, 3584, 2.2893213572854293e-07
129, 3584, 4.5786427145708585e-07
129, 1792, 2.2893213572854293e-07
257, 1792, 4.5786427145708585e-07
257, 896, 2.2893213572854293e-07
258, 28672, 7.162305389221557e-06
258, 14336, 3.5811526946107783e-06
258, 7168, 1.79875249500998e-06
258, 3584, 8.9937624750499e-07
258, 1792, 4.5786427145708585e-07
258, 896, 2.2893213572854293e-07
130, 28672, 3.6138572854291414e-06
260, 28672, 7.227714570858283e-06
130, 14336, 1.8151047904191617e-06
260, 14336, 3.6138572854291414e-06
130, 7168, 9.157285429141717e-07
260, 7168, 1.8151047904191617e-06
260, 3584, 9.157285429141717e-07
130, 3584, 4.5786427145708585e-07
130, 1792, 2.2893213572854293e-07
260, 1792, 4.5786427145708585e-07
260, 896, 2.2893213572854293e-07
66, 28672, 1.8314570858283434e-06
132, 28672, 3.662914171656687e-06
264, 28672, 7.325828343313374e-06
66, 14336, 9.157285429141717e-07
132, 14336, 1.8314570858283434e-06
264, 14336, 3.662914171656687e-06
132, 7168, 9.157285429141717e-07
264, 7168, 1.8314570858283434e-06
264, 3584, 9.157285429141717e-07
66, 7168, 4.5786427145708585e-07
66, 3584, 2.2893213572854293e-07
132, 3584, 4.5786427145708585e-07
132, 1792, 2.2893213572854293e-07
264, 1792, 4.5786427145708585e-07
264, 896, 2.2893213572854293e-07
34, 28672, 9.48433133732535e-07
68, 28672, 1.89686626746507e-06
136, 28672, 3.777380239520958e-06
272, 28672, 7.554760479041916e-06
68, 14336, 9.48433133732535e-07
136, 14336, 1.89686626746507e-06
272, 14336, 3.777380239520958e-06
136, 7168, 9.48433133732535e-07
272, 7168, 1.89686626746507e-06
272, 3584, 9.48433133732535e-07
34, 14336, 4.742165668662675e-07
34, 7168, 2.4528443113772456e-07
68, 7168, 4.742165668662675e-07
68, 3584, 2.4528443113772456e-07
136, 3584, 4.742165668662675e-07
136, 1792, 2.4528443113772456e-07
272, 1792, 4.742165668662675e-07
272, 896, 2.4528443113772456e-07
36, 28672, 1.0138423153692615e-06
72, 28672, 2.0113323353293414e-06
144, 28672, 4.006312375249501e-06
288, 28672, 7.99627245508982e-06
72, 14336, 1.0138423153692615e-06
144, 14336, 2.0113323353293414e-06
