M, N, latency
2048, 256, 8.219923788786064e-07
64, 1, 4.354926510615133e-09
4096, 256, 1.6113228089275994e-06
8192, 256, 3.1594991834512793e-06
16384, 256, 6.248230811105062e-06
2048, 256, 8.219923788786064e-07
4096, 256, 1.6113228089275994e-06
8192, 256, 3.1594991834512793e-06
2048, 256, 8.219923788786064e-07
4096, 256, 1.6113228089275994e-06
2048, 256, 8.219923788786064e-07
512, 256, 2.297223734349483e-07
1024, 256, 4.267827980402831e-07
512, 256, 2.297223734349483e-07
1024, 256, 4.267827980402831e-07
512, 256, 2.297223734349483e-07
1024, 256, 4.267827980402831e-07
512, 256, 2.297223734349483e-07
1024, 256, 4.267827980402831e-07
512, 256, 2.297223734349483e-07
1024, 256, 4.267827980402831e-07
512, 256, 2.297223734349483e-07
64, 2, 4.354926510615133e-09
64, 4, 4.354926510615133e-09
64, 8, 5.11873979314099e-09
64, 16, 6.971284703320632e-09
64, 32, 1.1765106151333696e-08
64, 64, 1.917528579205226e-08
64, 128, 3.508437670114317e-08
64, 256, 6.690255851932499e-08
64, 512, 1.3053892215568864e-07
64, 1024, 2.5781164942841593e-07
64, 2048, 5.134458356015242e-07
64, 4096, 1.023625476320087e-06
64, 8192, 2.047250952640174e-06
64, 16384, 4.093413173652695e-06
64, 32768, 8.184648884050082e-06
4096, 512, 3.186717474142624e-06
8192, 512, 6.248230811105062e-06
16384, 512, 1.237125748502994e-05
32768, 512, 2.460424605334785e-05
4096, 512, 3.186717474142624e-06
8192, 512, 6.248230811105062e-06
16384, 512, 1.237125748502994e-05
4096, 512, 3.186717474142624e-06
8192, 512, 6.248230811105062e-06
4096, 512, 3.186717474142624e-06
1024, 512, 8.437670114316821e-07
2048, 512, 1.6243875884594448e-06
1024, 512, 8.437670114316821e-07
2048, 512, 1.6243875884594448e-06
1024, 512, 8.437670114316821e-07
2048, 512, 1.6243875884594448e-06
1024, 512, 8.437670114316821e-07
2048, 512, 1.6243875884594448e-06
1024, 512, 8.437670114316821e-07
2048, 512, 1.6243875884594448e-06
1024, 512, 8.437670114316821e-07
8192, 1024, 1.2425694066412628e-05
16384, 1024, 2.460424605334785e-05
32768, 1024, 4.9085465432770824e-05
65536, 1024, 9.792487751769189e-05
8192, 1024, 1.2425694066412628e-05
16384, 1024, 2.460424605334785e-05
32768, 1024, 4.9085465432770824e-05
8192, 1024, 1.2425694066412628e-05
16384, 1024, 2.460424605334785e-05
8192, 1024, 1.2425694066412628e-05
2048, 1024, 3.2302667392487752e-06
4096, 1024, 6.336418072945019e-06
2048, 1024, 3.2302667392487752e-06
4096, 1024, 6.336418072945019e-06
2048, 1024, 3.2302667392487752e-06
4096, 1024, 6.336418072945019e-06
2048, 1024, 3.2302667392487752e-06
4096, 1024, 6.336418072945019e-06
2048, 1024, 3.2302667392487752e-06
4096, 1024, 6.336418072945019e-06
2048, 1024, 3.2302667392487752e-06
16384, 2048, 4.9316276537833424e-05
32768, 2048, 9.814262384322264e-05
65536, 2048, 0.00019604028307022319
131072, 2048, 0.0003918356015242243
16384, 2048, 4.9316276537833424e-05
32768, 2048, 9.814262384322264e-05
65536, 2048, 0.00019604028307022319
16384, 2048, 4.9316276537833424e-05
32768, 2048, 9.814262384322264e-05
16384, 2048, 4.9316276537833424e-05
4096, 2048, 1.263581927054981e-05
8192, 2048, 2.4780620577027764e-05
4096, 2048, 1.263581927054981e-05
8192, 2048, 2.4780620577027764e-05
4096, 2048, 1.263581927054981e-05
8192, 2048, 2.4780620577027764e-05
4096, 2048, 1.263581927054981e-05
8192, 2048, 2.4780620577027764e-05
4096, 2048, 1.263581927054981e-05
8192, 2048, 2.4780620577027764e-05
4096, 2048, 1.263581927054981e-05
1024, 256, 4.267827980402831e-07
128, 1, 4.354926510615133e-09
2048, 256, 8.219923788786064e-07
4096, 256, 1.6113228089275994e-06
8192, 256, 3.1594991834512793e-06
16384, 256, 6.248230811105062e-06
32768, 256, 1.237125748502994e-05
256, 256, 1.30647795318454e-07
512, 256, 2.297223734349483e-07
256, 256, 1.30647795318454e-07
256, 256, 1.30647795318454e-07
256, 256, 1.30647795318454e-07
256, 256, 1.30647795318454e-07
256, 256, 1.30647795318454e-07
256, 256, 1.30647795318454e-07
256, 256, 1.30647795318454e-07
128, 2, 4.354926510615133e-09
128, 4, 4.354926510615133e-09
128, 8, 5.443658138268916e-09
128, 16, 8.709853021230266e-09
128, 32, 1.30647795318454e-08
128, 64, 2.286336418072945e-08
128, 128, 4.246053347849755e-08
128, 256, 8.165487207403375e-08
128, 512, 1.6004354926510615e-07
128, 1024, 3.179096352749047e-07
128, 2048, 6.325530756668481e-07
128, 4096, 1.2651061513336962e-06
128, 8192, 2.5291235710397387e-06
128, 16384, 5.05606967882417e-06
128, 32768, 1.0108873162765379e-05
2048, 512, 1.6243875884594448e-06
4096, 512, 3.186717474142624e-06
8192, 512, 6.248230811105062e-06
16384, 512, 1.237125748502994e-05
32768, 512, 2.460424605334785e-05
65536, 512, 4.9085465432770824e-05
512, 512, 4.5291235710397385e-07
1024, 512, 8.437670114316821e-07
512, 512, 4.5291235710397385e-07
512, 512, 4.5291235710397385e-07
512, 512, 4.5291235710397385e-07
512, 512, 4.5291235710397385e-07
512, 512, 4.5291235710397385e-07
512, 512, 4.5291235710397385e-07
512, 512, 4.5291235710397385e-07
4096, 1024, 6.336418072945019e-06
8192, 1024, 1.2425694066412628e-05
16384, 1024, 2.460424605334785e-05
32768, 1024, 4.9085465432770824e-05
65536, 1024, 9.792487751769189e-05
131072, 1024, 0.00019584975503538377
1024, 1024, 1.6766467065868263e-06
2048, 1024, 3.2302667392487752e-06
1024, 1024, 1.6766467065868263e-06
1024, 1024, 1.6766467065868263e-06
1024, 1024, 1.6766467065868263e-06
1024, 1024, 1.6766467065868263e-06
1024, 1024, 1.6766467065868263e-06
1024, 1024, 1.6766467065868263e-06
1024, 1024, 1.6766467065868263e-06
8192, 2048, 2.4780620577027764e-05
16384, 2048, 4.9316276537833424e-05
32768, 2048, 9.814262384322264e-05
65536, 2048, 0.00019604028307022319
131072, 2048, 0.0003918356015242243
262144, 2048, 0.0007831801850843767
2048, 2048, 6.440936309199782e-06
4096, 2048, 1.263581927054981e-05
2048, 2048, 6.440936309199782e-06
2048, 2048, 6.440936309199782e-06
2048, 2048, 6.440936309199782e-06
2048, 2048, 6.440936309199782e-06
2048, 2048, 6.440936309199782e-06
2048, 2048, 6.440936309199782e-06
2048, 2048, 6.440936309199782e-06
