B, M, K, N, latency
1, 512, 128, 64, 1.0288513881328253e-07
1, 512, 64, 128, 1.0996189439303212e-07
1, 8, 128, 1, 6.293402777777778e-10
1, 8, 1, 128, 2.7762656505171477e-08
1, 8, 128, 2, 2.8851388132825257e-08
1, 8, 2, 128, 2.8307022318998365e-08
1, 8, 128, 4, 2.8851388132825257e-08
1, 8, 4, 128, 2.8307022318998365e-08
1, 8, 128, 8, 2.8851388132825257e-08
1, 8, 8, 128, 2.8307022318998365e-08
1, 8, 128, 16, 2.994011976047904e-08
1, 8, 16, 128, 2.939575394665215e-08
1, 8, 128, 32, 3.1573217201959714e-08
1, 8, 32, 128, 3.0484485574305937e-08
1, 8, 128, 64, 3.320631464344039e-08
1, 8, 64, 128, 3.26619488296135e-08
1, 8, 128, 128, 3.756124115405552e-08
1, 8, 128, 256, 4.57267283614589e-08
1, 8, 256, 128, 4.6271094175285794e-08
1, 8, 128, 512, 6.423516603157322e-08
1, 8, 512, 128, 6.423516603157322e-08
1, 8, 128, 1024, 1.0125204137180185e-07
1, 8, 1024, 128, 1.0016330974414807e-07
1, 8, 128, 2048, 1.6603157321720196e-07
1, 8, 2048, 128, 1.6439847577572129e-07
1, 8, 128, 4096, 2.743603701687534e-07
1, 8, 4096, 128, 2.7054980947196516e-07
1, 8, 128, 8192, 4.7196516058791506e-07
1, 8, 8192, 128, 4.643440391943386e-07
1, 8, 128, 16384, 8.007621121393577e-07
1, 8, 16384, 128, 8.100163309744148e-07
1, 8, 128, 32768, 1.4583560152422428e-06
1, 8, 32768, 128, 1.4676102340773e-06
1, 8, 128, 65536, 2.773543821448013e-06
1, 8, 65536, 128, 2.722373434948285e-06
1, 8, 128, 131072, 5.4039194338595535e-06
1, 8, 131072, 128, 5.1437125748503e-06
1, 128, 128, 64, 4.844855743059336e-08
1, 128, 64, 128, 5.0081654872074034e-08
1, 256, 128, 64, 6.423516603157322e-08
1, 256, 64, 128, 6.750136091453456e-08
1, 1024, 128, 128, 2.2427871529667937e-07
1, 256, 128, 128, 9.090909090909091e-08
1, 512, 128, 128, 1.4697876973326074e-07
1, 2048, 128, 256, 5.868263473053893e-07
1, 2048, 256, 128, 5.802939575394666e-07
1, 512, 128, 256, 2.0032661948829614e-07
1, 512, 256, 128, 2.1502449646162222e-07
1, 1024, 128, 256, 3.734349482852477e-07
1, 1024, 256, 128, 3.3043004899292325e-07
1, 4096, 128, 512, 1.99129014697877e-06
1, 4096, 512, 128, 1.6891671203048448e-06
1, 1024, 128, 512, 5.389221556886228e-07
1, 1024, 512, 128, 5.42732716385411e-07
1, 2048, 128, 512, 1.0239520958083833e-06
1, 2048, 512, 128, 9.248775176918889e-07
1, 8192, 128, 1024, 7.456178551986935e-06
1, 8192, 1024, 128, 4.9384866630375615e-06
1, 2048, 128, 1024, 1.9314099074578114e-06
1, 2048, 1024, 128, 1.5095264017419706e-06
1, 4096, 128, 1024, 3.7817093086554163e-06
1, 4096, 1024, 128, 2.698421339139902e-06
1, 16384, 128, 2048, 3.22591181273816e-05
1, 16384, 2048, 128, 1.9796407185628742e-05
1, 4096, 128, 2048, 7.360914534567229e-06
1, 4096, 2048, 128, 4.564507348938486e-06
1, 8192, 128, 2048, 1.4635274904735982e-05
1, 8192, 2048, 128, 8.28198149156233e-06
1, 32768, 128, 4096, 0.0001271556886227545
1, 32768, 4096, 128, 7.592868807838868e-05
1, 8192, 128, 4096, 3.21094175285792e-05
1, 8192, 4096, 128, 1.480729450190528e-05
1, 16384, 128, 4096, 6.37915078933043e-05
1, 16384, 4096, 128, 3.8336962438758843e-05
1, 6, 16384, 16384, 0.00014632770821992378
1, 6, 16384, 2048, 1.849918345127926e-05
8, 16, 128, 1, 9.513888888888889e-09
8, 16, 1, 128, 3.8262263352083713e-08
8, 16, 128, 2, 4.639262195306357e-08
8, 16, 2, 128, 3.88066291659106e-08
8, 16, 128, 4, 4.814724717232202e-08
8, 16, 4, 128, 4.0439726607391275e-08
8, 16, 128, 8, 5.111213179701203e-08
8, 16, 8, 128, 4.152845823504506e-08
8, 16, 128, 16, 5.813063267404585e-08
8, 16, 16, 128, 5.1871408697756e-08
8, 16, 128, 32, 7.216763442811348e-08
8, 16, 32, 128, 6.711365148490898e-08
8, 16, 128, 128, 1.4495796286215449e-07
8, 16, 128, 256, 2.34390612713966e-07
8, 16, 256, 128, 2.358670537712454e-07
8, 16, 128, 512, 3.9583620637512853e-07
8, 16, 512, 128, 3.9699933466400537e-07
8, 16, 128, 1024, 7.187273936974535e-07
8, 16, 1024, 128, 7.192638964495252e-07
8, 16, 128, 2048, 1.3645097683421036e-06
8, 16, 2048, 128, 1.363793020020565e-06
8, 16, 128, 4096, 2.656074517631404e-06
8, 16, 4096, 128, 2.6528512671626443e-06
8, 16, 128, 8192, 5.239204016210004e-06
8, 16, 8192, 128, 5.230967761446804e-06
8, 16, 128, 16384, 1.0401652452670417e-05
8, 16, 16384, 128, 1.0387200750015121e-05
8, 16, 128, 32768, 2.0692798645133975e-05
8, 16, 32768, 128, 2.067299280227424e-05
8, 16, 128, 65536, 4.1218476985423094e-05
8, 16, 65536, 128, 4.122824593237767e-05
8, 16, 128, 131072, 8.226983366600133e-05
8, 16, 131072, 128, 8.227996068469122e-05
1, 6, 16384, 53248, 0.0004747729994556342
1, 6, 53248, 16384, 0.00047490854654327707
1, 12, 16384, 16384, 0.00014648938486663037
1, 12, 16384, 2048, 1.857648339684268e-05
1, 12, 16384, 53248, 0.00047540827436037017
1, 12, 53248, 16384, 0.00047587261839956453
1, 24, 16384, 16384, 0.00014707022318998368
1, 24, 16384, 2048, 1.87915078933043e-05
1, 24, 16384, 53248, 0.0004767022318998367
1, 24, 53248, 16384, 0.0004776276537833424
1, 48, 16384, 16384, 0.00014809580838323353
1, 48, 16384, 2048, 1.9268372346216657e-05
1, 48, 16384, 53248, 0.0004790321175830158
1, 48, 53248, 16384, 0.0004811126837234622
1, 96, 16384, 16384, 0.0001498666303756124
1, 96, 16384, 2048, 1.9941752857920524e-05
1, 96, 16384, 53248, 0.0004836962438758846
1, 96, 53248, 16384, 0.0004881039738704409
1, 192, 16384, 16384, 0.00015478987479586282
1, 192, 16384, 2048, 2.258464888405008e-05
8, 1024, 128, 64, 1.1264065807778383e-06
8, 1024, 64, 128, 1.0405104941631887e-06
1, 192, 16384, 53248, 0.0004940560696788242
1, 192, 53248, 16384, 0.0005049804028307022
1, 12, 16384, 8192, 7.339629831246598e-05
1, 12, 16384, 1024, 9.408274360370169e-06
4, 16, 128, 1, 4.7569444444444446e-09
4, 16, 1, 128, 3.327345309381238e-08
4, 16, 128, 2, 3.706895867356197e-08
4, 16, 2, 128, 3.3817818907639273e-08
4, 16, 128, 4, 3.820977363454908e-08
4, 16, 4, 128, 3.4362184721466155e-08
4, 16, 128, 8, 3.9402671928869535e-08
4, 16, 8, 128, 3.599528216294683e-08
4, 16, 128, 16, 4.342156595899111e-08
4, 16, 16, 128, 3.708401379060062e-08
4, 16, 128, 32, 5.037062239158048e-08
4, 16, 32, 128, 4.742696425331156e-08
4, 16, 128, 64, 6.426873525675921e-08
4, 16, 64, 128, 6.266920704046452e-08
4, 16, 128, 128, 7.08346942478679e-08
4, 16, 128, 256, 1.422137543095627e-07
4, 16, 256, 128, 1.4051351841771004e-07
4, 16, 128, 512, 2.2890219560878244e-07
4, 16, 512, 128, 2.3142260932680096e-07
4, 16, 128, 1024, 3.9030303030303035e-07
4, 16, 1024, 128, 3.925548902195609e-07
4, 16, 128, 2048, 7.13104699691526e-07
4, 16, 2048, 128, 7.148194520050808e-07
4, 16, 128, 4096, 1.3587080384685176e-06
4, 16, 4096, 128, 1.3593485755761204e-06
4, 16, 128, 8192, 2.649914716022501e-06
4, 16, 8192, 128, 2.6484068227182e-06
4, 16, 128, 16384, 5.2323280711304665e-06
4, 16, 16384, 128, 5.226523317002359e-06
4, 16, 128, 32768, 1.0395521683904918e-05
4, 16, 32768, 128, 1.0382756305570678e-05
4, 16, 128, 65536, 2.0685980765741247e-05
4, 16, 65536, 128, 2.0668548357829795e-05
4, 16, 128, 131072, 4.1205929958265284e-05
