M, N, latency
33, 28672, 2.1435928143712576e-06
65, 28672, 4.248907185628743e-06
129, 28672, 8.382979041916167e-06
257, 28672, 1.6727679640718562e-05
65, 14336, 2.1435928143712576e-06
129, 14336, 4.21062874251497e-06
257, 14336, 8.382979041916167e-06
129, 7168, 2.105314371257485e-06
257, 7168, 4.21062874251497e-06
257, 3584, 2.105314371257485e-06
9, 28672, 6.124550898203593e-07
17, 28672, 1.1100748502994012e-06
17, 14336, 5.741766467065869e-07
33, 14336, 1.0717964071856288e-06
33, 7168, 5.358982035928144e-07
65, 7168, 1.0717964071856288e-06
65, 3584, 5.358982035928144e-07
129, 3584, 1.0717964071856288e-06
129, 1792, 5.358982035928144e-07
257, 1792, 1.0717964071856288e-06
257, 896, 5.358982035928144e-07
258, 28672, 1.6765958083832335e-05
258, 14336, 8.382979041916167e-06
258, 7168, 4.21062874251497e-06
258, 3584, 2.105314371257485e-06
258, 1792, 1.0717964071856288e-06
258, 896, 5.358982035928144e-07
130, 28672, 8.459535928143713e-06
260, 28672, 1.6919071856287425e-05
130, 14336, 4.248907185628743e-06
260, 14336, 8.459535928143713e-06
130, 7168, 2.1435928143712576e-06
260, 7168, 4.248907185628743e-06
260, 3584, 2.1435928143712576e-06
130, 3584, 1.0717964071856288e-06
130, 1792, 5.358982035928144e-07
260, 1792, 1.0717964071856288e-06
260, 896, 5.358982035928144e-07
66, 28672, 4.287185628742515e-06
132, 28672, 8.57437125748503e-06
264, 28672, 1.714874251497006e-05
66, 14336, 2.1435928143712576e-06
132, 14336, 4.287185628742515e-06
264, 14336, 8.57437125748503e-06
132, 7168, 2.1435928143712576e-06
264, 7168, 4.287185628742515e-06
264, 3584, 2.1435928143712576e-06
66, 7168, 1.0717964071856288e-06
66, 3584, 5.358982035928144e-07
132, 3584, 1.0717964071856288e-06
132, 1792, 5.358982035928144e-07
264, 1792, 1.0717964071856288e-06
264, 896, 5.358982035928144e-07
34, 28672, 2.2201497005988023e-06
68, 28672, 4.440299401197605e-06
136, 28672, 8.842320359281437e-06
272, 28672, 1.7684640718562873e-05
68, 14336, 2.2201497005988023e-06
136, 14336, 4.440299401197605e-06
272, 14336, 8.842320359281437e-06
136, 7168, 2.2201497005988023e-06
272, 7168, 4.440299401197605e-06
272, 3584, 2.2201497005988023e-06
34, 14336, 1.1100748502994012e-06
