M, N, latency
33, 28672, 1.429061876247505e-06
65, 28672, 2.85812375249501e-06
129, 28672, 5.614171656686627e-06
257, 28672, 1.1177305389221556e-05
65, 14336, 1.429061876247505e-06
129, 14336, 2.8070858283433135e-06
257, 14336, 5.614171656686627e-06
129, 7168, 1.429061876247505e-06
257, 7168, 2.8070858283433135e-06
257, 3584, 1.429061876247505e-06
9, 28672, 4.0830339321357284e-07
17, 28672, 7.655688622754491e-07
17, 14336, 4.0830339321357284e-07
33, 14336, 7.145309381237525e-07
33, 7168, 3.5726546906187623e-07
65, 7168, 7.145309381237525e-07
65, 3584, 3.5726546906187623e-07
129, 3584, 7.145309381237525e-07
129, 1792, 3.5726546906187623e-07
257, 1792, 7.145309381237525e-07
257, 896, 3.5726546906187623e-07
258, 28672, 1.1177305389221556e-05
258, 14336, 5.614171656686627e-06
258, 7168, 2.8070858283433135e-06
258, 3584, 1.429061876247505e-06
258, 1792, 7.145309381237525e-07
258, 896, 3.5726546906187623e-07
130, 28672, 5.665209580838323e-06
260, 28672, 1.1279381237524949e-05
130, 14336, 2.85812375249501e-06
260, 14336, 5.665209580838323e-06
130, 7168, 1.429061876247505e-06
260, 7168, 2.85812375249501e-06
260, 3584, 1.429061876247505e-06
130, 3584, 7.145309381237525e-07
130, 1792, 3.5726546906187623e-07
260, 1792, 7.145309381237525e-07
260, 896, 3.5726546906187623e-07
66, 28672, 2.85812375249501e-06
132, 28672, 5.71624750499002e-06
264, 28672, 1.143249500998004e-05
66, 14336, 1.429061876247505e-06
132, 14336, 2.85812375249501e-06
264, 14336, 5.71624750499002e-06
132, 7168, 1.429061876247505e-06
264, 7168, 2.85812375249501e-06
264, 3584, 1.429061876247505e-06
66, 7168, 7.145309381237525e-07
66, 3584, 3.5726546906187623e-07
132, 3584, 7.145309381237525e-07
132, 1792, 3.5726546906187623e-07
264, 1792, 7.145309381237525e-07
264, 896, 3.5726546906187623e-07
34, 28672, 1.4800998003992015e-06
68, 28672, 2.960199600798403e-06
136, 28672, 5.920399201596806e-06
272, 28672, 1.1789760479041917e-05
68, 14336, 1.4800998003992015e-06
136, 14336, 2.960199600798403e-06
272, 14336, 5.920399201596806e-06
136, 7168, 1.4800998003992015e-06
272, 7168, 2.960199600798403e-06
272, 3584, 1.4800998003992015e-06
34, 14336, 7.655688622754491e-07
34, 7168, 4.0830339321357284e-07
68, 7168, 7.655688622754491e-07
68, 3584, 4.0830339321357284e-07
136, 3584, 7.655688622754491e-07
136, 1792, 4.0830339321357284e-07
272, 1792, 7.655688622754491e-07
272, 896, 4.0830339321357284e-07
36, 28672, 1.5821756487025948e-06
72, 28672, 3.1643512974051896e-06
144, 28672, 6.2776646706586825e-06
288, 28672, 1.2504291417165668e-05
72, 14336, 1.5821756487025948e-06
144, 14336, 3.1643512974051896e-06
288, 14336, 6.2776646706586825e-06
144, 7168, 1.5821756487025948e-06
288, 7168, 3.1643512974051896e-06
288, 3584, 1.5821756487025948e-06
18, 28672, 8.166067864271457e-07
18, 14336, 4.0830339321357284e-07
36, 14336, 8.166067864271457e-07
36, 7168, 4.0830339321357284e-07
72, 7168, 8.166067864271457e-07
72, 3584, 4.0830339321357284e-07
144, 3584, 8.166067864271457e-07
144, 1792, 4.0830339321357284e-07
288, 1792, 8.166067864271457e-07
288, 896, 4.0830339321357284e-07
40, 28672, 1.7352894211576847e-06
80, 28672, 3.4705788423153694e-06
160, 28672, 6.941157684630739e-06
320, 28672, 1.3882315369261478e-05
80, 14336, 1.7352894211576847e-06
160, 14336, 3.4705788423153694e-06
320, 14336, 6.941157684630739e-06
160, 7168, 1.7352894211576847e-06
320, 7168, 3.4705788423153694e-06
320, 3584, 1.7352894211576847e-06
10, 28672, 4.5934131736526945e-07
20, 28672, 8.676447105788423e-07
20, 14336, 4.5934131736526945e-07
40, 14336, 8.676447105788423e-07
40, 7168, 4.5934131736526945e-07
80, 7168, 8.676447105788423e-07
80, 3584, 4.5934131736526945e-07
160, 3584, 8.676447105788423e-07
160, 1792, 4.5934131736526945e-07
320, 1792, 8.676447105788423e-07
320, 896, 4.5934131736526945e-07
48, 28672, 2.092554890219561e-06
96, 28672, 4.185109780439122e-06
192, 28672, 8.319181636726547e-06
384, 28672, 1.6638363273453093e-05
96, 14336, 2.092554890219561e-06
192, 14336, 4.185109780439122e-06
384, 14336, 8.319181636726547e-06
192, 7168, 2.092554890219561e-06
384, 7168, 4.185109780439122e-06
384, 3584, 2.092554890219561e-06
12, 28672, 5.614171656686627e-07
24, 28672, 1.0717964071856288e-06
24, 14336, 5.614171656686627e-07
48, 14336, 1.0717964071856288e-06
48, 7168, 5.614171656686627e-07
96, 7168, 1.0717964071856288e-06
96, 3584, 5.614171656686627e-07
192, 3584, 1.0717964071856288e-06
192, 1792, 5.614171656686627e-07
384, 1792, 1.0717964071856288e-06
384, 896, 5.614171656686627e-07
64, 28672, 2.8070858283433135e-06
128, 28672, 5.56313373253493e-06
256, 28672, 1.112626746506986e-05
512, 28672, 2.2201497005988028e-05
128, 14336, 2.8070858283433135e-06
256, 14336, 5.56313373253493e-06
512, 14336, 1.112626746506986e-05
256, 7168, 2.8070858283433135e-06
512, 7168, 5.56313373253493e-06
512, 3584, 2.8070858283433135e-06
16, 28672, 7.145309381237525e-07
32, 28672, 1.429061876247505e-06
32, 14336, 7.145309381237525e-07
64, 14336, 1.429061876247505e-06
64, 7168, 7.145309381237525e-07
128, 7168, 1.429061876247505e-06
128, 3584, 7.145309381237525e-07
256, 3584, 1.429061876247505e-06
256, 1792, 7.145309381237525e-07
512, 1792, 1.429061876247505e-06
512, 896, 7.145309381237525e-07
768, 28672, 3.3276726546906186e-05
768, 14336, 1.6638363273453093e-05
768, 7168, 8.319181636726547e-06
768, 3584, 4.185109780439122e-06
768, 1792, 2.092554890219561e-06
768, 896, 1.0717964071856288e-06
513, 28672, 2.225253493013972e-05
513, 14336, 1.112626746506986e-05
513, 7168, 5.56313373253493e-06
513, 3584, 2.8070858283433135e-06
513, 1792, 1.429061876247505e-06
513, 896, 7.145309381237525e-07
514, 28672, 2.2303572854291414e-05
514, 14336, 1.1177305389221556e-05
514, 7168, 5.614171656686627e-06
514, 3584, 2.8070858283433135e-06
514, 1792, 1.429061876247505e-06
514, 896, 7.145309381237525e-07
516, 28672, 2.235461077844311e-05
516, 14336, 1.1177305389221556e-05
516, 7168, 5.614171656686627e-06
516, 3584, 2.8070858283433135e-06
516, 1792, 1.429061876247505e-06
516, 896, 7.145309381237525e-07
520, 28672, 2.2558762475049898e-05
520, 14336, 1.1279381237524949e-05
520, 7168, 5.665209580838323e-06
520, 3584, 2.85812375249501e-06
520, 1792, 1.429061876247505e-06
520, 896, 7.145309381237525e-07
528, 28672, 2.286499001996008e-05
528, 14336, 1.143249500998004e-05
528, 7168, 5.71624750499002e-06
528, 3584, 2.85812375249501e-06
528, 1792, 1.429061876247505e-06
528, 896, 7.145309381237525e-07
544, 28672, 2.3579520958083834e-05
544, 14336, 1.1789760479041917e-05
544, 7168, 5.920399201596806e-06
544, 3584, 2.960199600798403e-06
544, 1792, 1.4800998003992015e-06
544, 896, 7.655688622754491e-07
576, 28672, 2.495754491017964e-05
576, 14336, 1.2504291417165668e-05
576, 7168, 6.2776646706586825e-06
576, 3584, 3.1643512974051896e-06
576, 1792, 1.5821756487025948e-06
576, 896, 8.166067864271457e-07
640, 28672, 2.7764630738522955e-05
640, 14336, 1.3882315369261478e-05
640, 7168, 6.941157684630739e-06
640, 3584, 3.4705788423153694e-06
640, 1792, 1.7352894211576847e-06
640, 896, 8.676447105788423e-07
1024, 28672, 4.4351956087824345e-05
1024, 14336, 2.2201497005988028e-05
1024, 7168, 1.112626746506986e-05
1024, 3584, 5.56313373253493e-06
1024, 1792, 2.8070858283433135e-06
1024, 896, 1.429061876247505e-06
1025, 28672, 4.4402994011976055e-05
1025, 14336, 2.2201497005988028e-05
1025, 7168, 1.112626746506986e-05
1025, 3584, 5.56313373253493e-06
1025, 1792, 2.8070858283433135e-06
1025, 896, 1.429061876247505e-06
1026, 28672, 4.4454031936127745e-05
1026, 14336, 2.225253493013972e-05
1026, 7168, 1.112626746506986e-05
1026, 3584, 5.56313373253493e-06
1026, 1792, 2.8070858283433135e-06
1026, 896, 1.429061876247505e-06
1028, 28672, 4.455610778443114e-05
1028, 14336, 2.2303572854291414e-05
1028, 7168, 1.1177305389221556e-05
1028, 3584, 5.614171656686627e-06
1028, 1792, 2.8070858283433135e-06
1028, 896, 1.429061876247505e-06
1032, 28672, 4.470922155688622e-05
1032, 14336, 2.235461077844311e-05
1032, 7168, 1.1177305389221556e-05
1032, 3584, 5.614171656686627e-06
1032, 1792, 2.8070858283433135e-06
1032, 896, 1.429061876247505e-06
1040, 28672, 4.50664870259481e-05
1040, 14336, 2.2558762475049898e-05
1040, 7168, 1.1279381237524949e-05
1040, 3584, 5.665209580838323e-06
