TIMESTAMP,ContextTokens,GeneratedTokens
0,41764,180
1,31385,1281
2,38301,266
3,11568,23
4,32723,622
5,47225,563
6,12005,269
7,12233,178
8,38405,728
9,18081,255
10,14335,128
11,49903,57
12,65900,1721
13,128629,2443
14,14596,66
15,49452,48
16,37384,257
17,10029,42
18,19889,188
19,45814,314
20,19515,232
21,99434,780
22,41180,291
23,32089,115
24,39670,157
25,18276,153
26,20184,143
27,16051,72
28,19960,365
29,11104,50
30,52139,188
31,36112,328
32,105656,626
33,69199,1091
34,19275,155
35,40518,322
36,19990,136
37,5884,73
38,83277,674
39,60260,472
40,52685,193
41,53335,271
42,8729,17
43,14700,64
44,19776,95
45,56529,518
46,38759,206
47,52119,297
48,21753,485
49,28643,639
50,23515,93
51,130666,406
52,77092,341
53,45904,224
54,16818,215
55,29990,324
56,35614,278
57,36842,481
58,64032,733
59,34973,406
60,11651,158
61,29132,67
62,7738,37
63,19816,136
64,116262,782
65,29011,164
66,10109,53
67,48542,532
68,44304,294
69,48503,504
70,21185,78
71,58166,643
72,29542,275
73,27151,370
74,33749,192
75,28795,587
76,60139,295
77,81117,316
78,27991,234
79,66495,617
80,19035,163
81,19488,153
82,40149,173
83,44957,289
84,50842,178
85,27852,49
86,34610,487
87,24060,169
88,17452,166
89,29538,359
90,11591,63
91,24415,1538
92,19470,1248
93,80802,464
94,62851,1157
95,23135,287
96,130597,475
97,25957,231
98,17098,275
99,59966,399
100,31057,414
101,28281,164
102,58037,308
103,50871,448
104,121578,2102
105,43617,187
106,18616,67
107,73985,235
108,34851,805
109,66329,688
110,95803,453
111,19664,344
112,16074,100
113,36538,161
114,18939,80
115,39860,841
116,22184,356
117,17595,71
118,32079,205
119,61427,489
120,64973,228
121,63581,1668
122,119531,6774
123,20770,82
124,58719,519
125,28847,329
126,48419,120
127,9971,75
128,55244,616
129,31697,318
130,18358,94
131,22220,340
132,12493,81
133,12855,82
134,29930,498
135,116467,232
136,39908,66
137,40430,547
138,48040,1893
139,50284,99
140,98725,540
141,29567,250
142,26989,132
143,54892,550
144,39582,175
145,46149,304
146,118191,1721
147,32593,285
148,84753,231
149,14058,39
150,72788,280
151,62171,246
152,9274,62
153,89228,632
154,32383,549
155,42763,483
156,25866,416
157,28008,118
158,129974,1098
159,75197,595
160,15871,74
161,16622,151
162,74649,316
163,47110,287
164,31456,199
165,19244,1141
166,23313,107
167,17680,305
168,23588,119
169,23038,123
170,60204,350
171,30482,412
172,37395,240
173,62608,286
174,53893,169
175,67265,570
176,41775,642
177,13091,106
178,52867,817
179,41251,232
180,14438,75
181,25617,168
182,11066,74
183,46380,79
184,32526,469
185,23250,119
186,42769,139
187,40511,333
188,55768,83
189,9477,383
190,70525,448
191,54538,650
192,42819,951
193,34730,110
194,50122,690
195,41155,638
196,130293,779
197,23199,80
198,55483,823
199,4063,69
200,15107,58
201,43671,815
202,32826,108
203,32648,138
204,43747,315
205,29237,101
206,71545,669
207,19895,64
208,26899,209
209,37883,352
210,12409,80
211,43516,209
212,13706,118
213,13775,81
214,28198,112
215,21950,430
216,68284,956
217,69281,638
218,14144,75
219,8847,72
220,17830,67
221,61890,202
222,73496,640
223,23135,122
224,21608,233
225,19851,212
