device_count, batch, seq_len, q_mul_k_latency, a_mul_v_latency, other_latency, allreduce_latency, a_mul_k_roofline, k_mul_v_roofline
16, 1, 32, 9.516059027777778e-09, 9.516059027777778e-09, 3.3754134130805554e-07, 5.36656e-05, 4.758029513888889e-09, 4.758029513888889e-09
16, 1, 64, 1.8474392361111113e-08, 1.8474392361111113e-08, 3.385349419301898e-07, 5.36656e-05, 9.237196180555556e-09, 9.237196180555556e-09
16, 1, 128, 3.639105902777778e-08, 3.639105902777778e-08, 3.415568665937557e-07, 5.36656e-05, 1.819552951388889e-08, 1.819552951388889e-08
16, 1, 256, 7.222439236111111e-08, 7.22243923611111e-08, 3.465066037816316e-07, 5.36656e-05, 3.611219618055556e-08, 3.611219618055556e-08
16, 1, 512, 1.4389105902777776e-07, 1.438910590277778e-07, 3.575063142623204e-07, 5.36656e-05, 7.19455295138889e-08, 7.19455295138889e-08
16, 1, 1024, 2.872243923611111e-07, 2.872243923611111e-07, 3.794636579114498e-07, 5.36656e-05, 1.4361219618055555e-07, 1.4361219618055555e-07
16, 1, 2048, 5.738910590277778e-07, 5.738910590277778e-07, 4.2199223711667577e-07, 5.36656e-05, 2.869455295138889e-07, 2.869455295138889e-07
16, 1, 4096, 1.147224392361111e-06, 1.147224392361111e-06, 5.070493955271276e-07, 5.36656e-05, 5.736121961805555e-07, 5.736121961805555e-07
16, 1, 8192, 2.2938910590277776e-06, 2.2938910590277776e-06, 6.771637123480313e-07, 5.36656e-05, 1.1469455295138888e-06, 1.1469455295138888e-06
16, 1, 16384, 4.587224392361111e-06, 4.587224392361111e-06, 1.0184810776174925e-06, 5.36656e-05, 2.2936121961805554e-06, 2.2936121961805554e-06
16, 1, 32768, 9.173891059027777e-06, 9.173891059027777e-06, 1.7000270765287607e-06, 5.36656e-05, 4.5869455295138885e-06, 4.5869455295138885e-06
16, 1, 65536, 1.834722439236111e-05, 1.834722439236111e-05, 3.0642078059789516e-06, 5.36656e-05, 9.173612196180555e-06, 9.173612196180555e-06
16, 2, 32, 1.9032118055555557e-08, 1.9032118055555557e-08, 3.532043247554484e-07, 5.3810666666666656e-05, 9.516059027777778e-09, 9.516059027777778e-09
16, 2, 64, 3.6948784722222225e-08, 3.694878472222222e-08, 3.5584434277775133e-07, 5.3810666666666656e-05, 1.8474392361111113e-08, 1.8474392361111113e-08
16, 2, 128, 7.278211805555556e-08, 7.278211805555556e-08, 3.601143217387047e-07, 5.3810666666666656e-05, 3.639105902777778e-08, 3.639105902777778e-08
16, 2, 256, 1.4444878472222223e-07, 1.4444878472222223e-07, 3.6918945566337457e-07, 5.3810666666666656e-05, 7.222439236111111e-08, 7.222439236111111e-08
16, 2, 512, 2.877821180555556e-07, 2.877821180555556e-07, 3.862333871982347e-07, 5.3810666666666656e-05, 1.438910590277778e-07, 1.438910590277778e-07
16, 2, 1024, 5.744487847222222e-07, 5.744487847222222e-07, 4.202581342995826e-07, 5.3810666666666656e-05, 2.872243923611111e-07, 2.872243923611111e-07
16, 2, 2048, 1.1477821180555556e-06, 1.1477821180555556e-06, 4.862284663627291e-07, 5.3810666666666656e-05, 5.738910590277778e-07, 5.738910590277778e-07
16, 2, 4096, 2.294448784722222e-06, 2.294448784722222e-06, 6.18169130489022e-07, 5.3810666666666656e-05, 1.147224392361111e-06, 1.147224392361111e-06
16, 2, 8192, 4.587782118055555e-06, 4.587782118055555e-06, 8.831391903692615e-07, 5.3810666666666656e-05, 2.2938910590277776e-06, 2.2938910590277776e-06
16, 2, 16384, 9.174448784722222e-06, 9.174448784722222e-06, 1.4119905785020867e-06, 5.3810666666666656e-05, 4.587224392361111e-06, 4.587224392361111e-06
16, 2, 32768, 1.8347782118055554e-05, 1.8347782118055554e-05, 2.470782086395391e-06, 5.3810666666666656e-05, 9.173891059027777e-06, 9.173891059027777e-06
16, 2, 65536, 3.669444878472222e-05, 3.669444878472222e-05, 4.5872763705543455e-06, 5.3810666666666656e-05, 1.834722439236111e-05, 1.834722439236111e-05
32, 1, 32, 4.758029513888889e-09, 4.758029513888889e-09, 3.3754134130805554e-07, 5.36656e-05, 2.3790147569444446e-09, 2.3790147569444446e-09
32, 1, 64, 9.237196180555556e-09, 9.237196180555555e-09, 3.385349419301898e-07, 5.36656e-05, 4.618598090277778e-09, 4.618598090277778e-09
32, 1, 128, 1.819552951388889e-08, 1.819552951388889e-08, 3.415568665937557e-07, 5.36656e-05, 9.097764756944444e-09, 9.097764756944444e-09
32, 1, 256, 3.611219618055556e-08, 3.611219618055555e-08, 3.4541787215397777e-07, 5.36656e-05, 1.805609809027778e-08, 1.805609809027778e-08
