device_count, batch, seq_len, q_mul_k_latency, a_mul_v_latency, other_latency, allreduce_latency, a_mul_k_roofline, k_mul_v_roofline
24, 1, 32, 1.9032118055555553e-09, 1.9032118055555558e-09, 3.98969209442891e-07, 5.373813333333333e-05, 1.8648781981491562e-09, 1.8648781981491562e-09
24, 1, 64, 3.6948784722222223e-09, 3.6948784722222223e-09, 3.998034798984469e-07, 5.373813333333333e-05, 3.620457947740882e-09, 3.620457947740882e-09
24, 1, 128, 7.2782118055555555e-09, 7.2782118055555555e-09, 4.0438485520049377e-07, 5.373813333333333e-05, 7.1316174469243335e-09, 7.1316174469243335e-09
24, 1, 256, 1.4444878472222222e-08, 1.4444878472222222e-08, 4.114397572502871e-07, 5.373813333333333e-05, 1.4153936445291236e-08, 1.4153936445291236e-08
24, 1, 512, 2.8778211805555553e-08, 2.8778211805555553e-08, 4.244460480586714e-07, 5.373813333333333e-05, 2.819857444202504e-08, 2.819857444202504e-08
24, 1, 1024, 5.744487847222222e-08, 5.744487847222222e-08, 4.5040563475322083e-07, 5.373813333333333e-05, 5.628785043549265e-08, 5.628785043549265e-08
24, 1, 2048, 1.1477821180555555e-07, 1.1477821180555555e-07, 5.014059069361277e-07, 5.373813333333333e-05, 1.1246640242242788e-07, 1.1246640242242788e-07
24, 1, 4096, 2.2944487847222223e-07, 2.2944487847222223e-07, 6.034064513019415e-07, 5.373813333333333e-05, 2.2482350639629832e-07, 2.2482350639629832e-07
24, 1, 8192, 4.5877821180555555e-07, 4.5877821180555555e-07, 8.063188084059155e-07, 5.373813333333333e-05, 4.495377143440392e-07, 4.495377143440392e-07
24, 1, 16384, 9.174448784722222e-07, 9.174448784722222e-07, 1.213232254241517e-06, 5.373813333333333e-05, 8.98966130239521e-07, 8.98966130239521e-07
24, 1, 32768, 1.8347782118055555e-06, 1.8347782118055555e-06, 2.025970414285066e-06, 5.373813333333333e-05, 1.7978229620304845e-06, 1.7978229620304845e-06
24, 1, 65536, 3.669444878472222e-06, 3.669444878472222e-06, 3.651446734372164e-06, 5.373813333333333e-05, 3.5955366256124115e-06, 3.5955366256124115e-06
48, 1, 32, 9.516059027777777e-10, 9.516059027777777e-10, 3.98969209442891e-07, 5.373813333333333e-05, 9.324390990745781e-10, 9.324390990745781e-10
48, 1, 64, 1.8474392361111112e-09, 1.8474392361111112e-09, 3.998034798984469e-07, 5.373813333333333e-05, 1.810228973870441e-09, 1.810228973870441e-09
48, 1, 128, 3.6391059027777778e-09, 3.6391059027777778e-09, 4.025154047878799e-07, 5.373813333333333e-05, 3.5658087234621667e-09, 3.5658087234621667e-09
48, 1, 256, 7.222439236111111e-09, 7.222439236111111e-09, 4.0575727359902404e-07, 5.373813333333333e-05, 7.076968222645618e-09, 7.076968222645618e-09
48, 1, 512, 1.4389105902777778e-08, 1.4389105902777778e-08, 4.1442813413794693e-07, 5.373813333333333e-05, 1.409928722101252e-08, 1.409928722101252e-08
48, 1, 1024, 2.872243923611111e-08, 2.872243923611111e-08, 4.3173452526764655e-07, 5.373813333333333e-05, 2.8143925217746326e-08, 2.8143925217746326e-08
48, 1, 2048, 5.7389105902777776e-08, 5.7389105902777776e-08, 4.650088856378153e-07, 5.373813333333333e-05, 5.623320121121394e-08, 5.623320121121394e-08
48, 1, 4096, 1.1472243923611111e-07, 1.1472243923611111e-07, 5.326463380058066e-07, 5.373813333333333e-05, 1.1241175319814916e-07, 1.1241175319814916e-07
48, 1, 8192, 2.2938910590277777e-07, 2.2938910590277777e-07, 6.679212427417892e-07, 5.373813333333333e-05, 2.247688571720196e-07, 2.247688571720196e-07
48, 1, 16384, 4.587224392361111e-07, 4.587224392361111e-07, 9.373823205861005e-07, 5.373813333333333e-05, 4.494830651197605e-07, 4.494830651197605e-07
48, 1, 32768, 9.173891059027777e-07, 9.173891059027777e-07, 1.4773932079023773e-06, 5.373813333333333e-05, 8.989114810152423e-07, 8.989114810152423e-07
