device_count, batch, seq_len, q_mul_k_latency, a_mul_v_latency, other_latency, allreduce_latency, a_mul_k_roofline, k_mul_v_roofline
24, 1, 32, 9.516059027777778e-09, 9.516059027777778e-09, 4.205231923860955e-07, 5.373813333333333e-05, 4.758029513888889e-09, 4.758029513888889e-09
24, 1, 64, 1.8474392361111113e-08, 1.8474392361111113e-08, 4.2135746284165144e-07, 5.373813333333333e-05, 9.237196180555556e-09, 9.237196180555556e-09
24, 1, 128, 3.639105902777778e-08, 3.639105902777778e-08, 4.2593883814369833e-07, 5.373813333333333e-05, 1.819552951388889e-08, 1.819552951388889e-08
24, 1, 256, 7.222439236111111e-08, 7.22243923611111e-08, 4.3408247182114545e-07, 5.373813333333333e-05, 3.611219618055556e-08, 3.611219618055556e-08
24, 1, 512, 1.4389105902777776e-07, 1.438910590277778e-07, 4.481774942571835e-07, 5.373813333333333e-05, 7.19455295138889e-08, 7.19455295138889e-08
24, 1, 1024, 2.872243923611111e-07, 2.872243923611111e-07, 4.763145442070405e-07, 5.373813333333333e-05, 1.4361219618055555e-07, 1.4361219618055555e-07
24, 1, 2048, 5.738910590277778e-07, 5.738910590277778e-07, 5.305810112729087e-07, 5.373813333333333e-05, 2.869455295138889e-07, 2.869455295138889e-07
24, 1, 4096, 1.147224392361111e-06, 1.147224392361111e-06, 6.391139454046452e-07, 5.373813333333333e-05, 5.736121961805555e-07, 5.736121961805555e-07
24, 1, 8192, 2.2938910590277776e-06, 2.2938910590277776e-06, 8.561798136681183e-07, 5.373813333333333e-05, 1.1469455295138888e-06, 1.1469455295138888e-06
24, 1, 16384, 4.587224392361111e-06, 4.587224392361111e-06, 1.2914002818227181e-06, 5.373813333333333e-05, 2.2936121961805554e-06, 2.2936121961805554e-06
24, 1, 32768, 9.173891059027777e-06, 9.173891059027777e-06, 2.1607524865042645e-06, 5.373813333333333e-05, 4.5869455295138885e-06, 4.5869455295138885e-06
24, 1, 65536, 1.834722439236111e-05, 1.834722439236111e-05, 3.900545627495009e-06, 5.373813333333333e-05, 9.173612196180555e-06, 9.173612196180555e-06
48, 1, 32, 4.758029513888889e-09, 4.758029513888889e-09, 4.205231923860955e-07, 5.373813333333333e-05, 2.3790147569444446e-09, 2.3790147569444446e-09
48, 1, 64, 9.237196180555556e-09, 9.237196180555555e-09, 4.2135746284165144e-07, 5.373813333333333e-05, 4.618598090277778e-09, 4.618598090277778e-09
48, 1, 128, 1.819552951388889e-08, 1.819552951388889e-08, 4.2406938773108447e-07, 5.373813333333333e-05, 9.097764756944444e-09, 9.097764756944444e-09
48, 1, 256, 3.611219618055556e-08, 3.611219618055555e-08, 4.273112565422286e-07, 5.373813333333333e-05, 1.805609809027778e-08, 1.805609809027778e-08
48, 1, 512, 7.19455295138889e-08, 7.194552951388888e-08, 4.370708487088052e-07, 5.373813333333333e-05, 3.597276475694445e-08, 3.597276475694445e-08
48, 1, 1024, 1.4361219618055555e-07, 1.4361219618055555e-07, 4.5546597146615864e-07, 5.373813333333333e-05, 7.180609809027778e-08, 7.180609809027778e-08
48, 1, 2048, 2.869455295138889e-07, 2.869455295138889e-07, 4.909177950916349e-07, 5.373813333333333e-05, 1.4347276475694445e-07, 1.4347276475694445e-07
48, 1, 4096, 5.736121961805555e-07, 5.736121961805555e-07, 5.618214423425875e-07, 5.373813333333333e-05, 2.8680609809027777e-07, 2.8680609809027777e-07
48, 1, 8192, 1.1469455295138888e-06, 1.1469455295138888e-06, 7.036287368444929e-07, 5.373813333333333e-05, 5.734727647569444e-07, 5.734727647569444e-07
48, 1, 16384, 2.2936121961805554e-06, 2.2936121961805554e-06, 9.872433258483035e-07, 5.373813333333333e-05, 1.1468060980902777e-06, 1.1468060980902777e-06
48, 1, 32768, 4.5869455295138885e-06, 4.5869455295138885e-06, 1.5555612354835782e-06, 5.373813333333333e-05, 2.2934727647569442e-06, 2.2934727647569442e-06
48, 1, 65536, 9.173612196180555e-06, 9.173612196180555e-06, 2.6911083231264745e-06, 5.373813333333333e-05, 4.586806098090277e-06, 4.586806098090277e-06
96, 1, 32, 2.3790147569444446e-09, 2.3790147569444446e-09, 4.205231923860955e-07, 5.373813333333333e-05, 1.1895073784722223e-09, 1.1895073784722223e-09
96, 1, 64, 4.618598090277778e-09, 4.618598090277778e-09, 4.2135746284165144e-07, 5.373813333333333e-05, 2.309299045138889e-09, 2.309299045138889e-09
96, 1, 128, 9.097764756944444e-09, 9.097764756944444e-09, 4.2406938773108447e-07, 5.373813333333333e-05, 4.548882378472222e-09, 4.548882378472222e-09
96, 1, 256, 1.805609809027778e-08, 1.805609809027778e-08, 4.273112565422286e-07, 5.373813333333333e-05, 9.02804904513889e-09, 9.02804904513889e-09
96, 1, 512, 3.597276475694445e-08, 3.597276475694445e-08, 4.3598211708115144e-07, 5.373813333333333e-05, 1.7986382378472223e-08, 1.7986382378472223e-08
96, 1, 1024, 7.180609809027778e-08, 7.180609809027778e-08, 4.543772398385049e-07, 5.373813333333333e-05, 3.590304904513889e-08, 3.590304904513889e-08
