device_count, prefill_len, fc_latency, attn_latency, other_latency, total_latency, allreduce_latency, fc_roofline, attn_roofline
16, 1, 5.9233888888888885e-06, 2.2309027777777777e-10, 2.8429323171838143e-07, 6.207905210885048e-06, 5.36656e-05, 5.804082743603702e-06, 2.1859689711486117e-10
16, 16, 1.5554708764289603e-05, 6.825136091453457e-08, 6.460206859009254e-07, 1.6268980811105064e-05, 5.584159999999999e-05, 5.906151333696244e-06, 3.7016875340228633e-09
16, 32, 1.7295590636908e-05, 8.44102703683542e-08, 7.219560878243513e-07, 1.8101956995100707e-05, 5.8162666666666665e-05, 6.015024496461622e-06, 7.83886771910724e-09
16, 48, 2.0091997822536743e-05, 1.5136186717474144e-07, 7.973471239339503e-07, 2.1040706813645432e-05, 6.0483733333333325e-05, 7.275775721284704e-06, 1.241154055525313e-08
16, 64, 2.095264017419706e-05, 1.3628089275993467e-07, 9.006350934494647e-07, 2.198955616040646e-05, 6.280479999999999e-05, 9.662130284884775e-06, 1.7419706042460533e-08
16, 96, 2.715405552531301e-05, 2.3998856831790964e-07, 1.0682925058972963e-06, 2.8462336599528215e-05, 6.744693333333334e-05, 1.4493195427327165e-05, 2.874251497005988e-08
16, 128, 3.269297768100163e-05, 2.9373688985665034e-07, 1.2828996552349847e-06, 3.4269614226093266e-05, 7.208906666666666e-05, 1.932426056976955e-05, 4.6452549446561425e-08
16, 192, 4.3571039738704406e-05, 5.099292324442025e-07, 1.6923825077118493e-06, 4.577335147886046e-05, 8.137333333333333e-05, 2.898639085465433e-05, 1.045182362547632e-07
16, 256, 5.741643984757757e-05, 6.699967338051169e-07, 2.1923643621847214e-06, 6.0278800943567405e-05, 9.06576e-05, 3.86485211395391e-05, 1.858101977862457e-07
16, 512, 0.0001110669569951007, 1.7664380330248595e-06, 4.596897114861187e-06, 0.00011743029214298676, 0.00012779466666666667, 7.72970422790782e-05, 7.432407911449828e-07
16, 1024, 0.0002151578660860098, 5.759068045726728e-06, 1.2205225911812738e-05, 0.00023312216004354926, 0.0002020688, 0.0001545940845581564, 2.9729631645799312e-06
16, 1536, 0.0003176483396842678, 1.1413927054980947e-05, 2.2259800399201597e-05, 0.0003513220671384504, 0.0002763429333333333, 0.00023189112683723464, 6.689167120304845e-06
16, 2048, 0.0004218486663037561, 2.2547019415714028e-05, 3.6145755761204866e-05, 0.000480541441480675, 0.00035061706666666666, 0.0003091881691163128, 1.1891852658319725e-05
16, 2560, 0.0005245138813282527, 3.1034229722373436e-05, 5.3475369261477046e-05, 0.0006090234803121031, 0.0004248912, 0.000386485211395391, 1.858101977862457e-05
16, 3072, 0.0006273342406096897, 4.271605879150789e-05, 7.290283433133732e-05, 0.0007429531337325349, 0.0004991653333333332, 0.0004637822536744693, 2.675666848121938e-05
32, 1, 3.078597222222222e-06, 1.1154513888888888e-10, 2.8429323171838143e-07, 3.3630019990794923e-06, 5.36656e-05, 3.0165895481763745e-06, 1.0929844855743059e-10
32, 16, 8.920522591181274e-06, 6.176333696243875e-08, 6.253944383959355e-07, 9.607680366539649e-06, 5.584159999999999e-05, 3.11355470876429e-06, 1.8508437670114316e-09
32, 32, 1.0396298312465977e-05, 7.077874553922459e-08, 6.775939031028852e-07, 1.1144670961108087e-05, 5.8162666666666665e-05, 3.2169842133913988e-06, 3.91943385955362e-09
32, 48, 1.2200326619488297e-05, 1.2013277989475595e-07, 7.299872981310107e-07, 1.3050446697514063e-05, 6.0483733333333325e-05, 3.7918345127925968e-06, 6.205770277626565e-09
32, 64, 1.2838323353293414e-05, 9.115369261477046e-08, 7.910905461803665e-07, 1.3720567592088551e-05, 6.280479999999999e-05, 5.016875340228634e-06, 8.709853021230266e-09
32, 96, 1.578824169842134e-05, 1.6618744329522772e-07, 9.007766285610596e-07, 1.6855205770277628e-05, 6.744693333333334e-05, 7.525313010342951e-06, 1.437125748502994e-08
32, 128, 1.991399020141535e-05, 1.8646246900139115e-07, 1.0487025948103792e-06, 2.114915526522712e-05, 7.208906666666666e-05, 1.0033750680457268e-05, 2.3226274723280713e-08
32, 192, 2.566031573217202e-05, 3.507058610052622e-07, 1.3040029032843405e-06, 2.731502449646162e-05, 8.137333333333333e-05, 1.5050626020685902e-05, 5.22591181273816e-08
32, 256, 3.408111050626021e-05, 4.042431500635094e-07, 1.6312937760841953e-06, 3.6116647432407915e-05, 9.06576e-05, 2.0067501360914535e-05, 9.290509889312285e-08
64, 1, 1.6562013888888887e-06, 5.577256944444444e-11, 2.8429323171838143e-07, 1.9405503931767144e-06, 5.36656e-05, 1.622842950462711e-06, 5.4649224278715294e-11
64, 16, 5.610778443113773e-06, 5.87915078933043e-08, 6.045742605697695e-07, 6.274144211576847e-06, 5.584159999999999e-05, 1.7172563962983126e-06, 9.254218835057158e-10
64, 32, 6.7272727272727275e-06, 6.369080021774632e-08, 6.571615859190709e-07, 7.4481251134095445e-06, 5.8162666666666665e-05, 1.8179640718562874e-06, 1.95971692977681e-09
64, 48, 8.100163309744148e-06, 1.0887316276537834e-07, 6.889287334422065e-07, 8.897965205951732e-06, 6.0483733333333325e-05, 2.079041916167665e-06, 3.1028851388132825e-09
64, 64, 8.476864452912357e-06, 7.512248230811104e-08, 7.418290691344584e-07, 9.293816004354926e-06, 6.280479999999999e-05, 2.6942478679005625e-06, 4.354926510615133e-09
64, 96, 1.0494828524768644e-05, 1.3445835601524225e-07, 8.268844129921974e-07, 1.1456171293776084e-05, 6.744693333333334e-05, 4.041371801850844e-06, 7.18562874251497e-09
64, 128, 1.2860642351660317e-05, 1.2847033206314644e-07, 9.304481945200508e-07, 1.3919560878243515e-05, 7.208906666666666e-05, 5.388495735801125e-06, 1.1613137361640356e-08
64, 192, 1.6057702776265648e-05, 2.482308111050626e-07, 1.110357466884413e-06, 1.7416291054255123e-05, 8.137333333333333e-05, 8.082743603701688e-06, 2.61295590636908e-08
64, 256, 2.1540555253130103e-05, 2.7054980947196516e-07, 1.3448375975322083e-06, 2.3155942660134278e-05, 9.06576e-05, 1.077699147160225e-05, 4.6452549446561425e-08
