device_count, prefill_len, fc_latency, attn_latency, other_latency, total_latency, allreduce_latency, fc_roofline, attn_roofline
24, 1, 5.923148003472222e-06, 2.2309027777777777e-10, 3.976585011794592e-07, 6.321029594929459e-06, 5.373813333333333e-05, 5.803846709989113e-06, 2.1859689711486117e-10
24, 16, 2.421175830157866e-05, 6.825136091453457e-08, 8.562859735075305e-07, 2.5136295636000724e-05, 5.700213333333333e-05, 5.9285043549265105e-06, 3.7016875340228633e-09
24, 32, 2.549319542732716e-05, 8.44102703683542e-08, 9.22697151152241e-07, 2.650030284884776e-05, 6.0483733333333325e-05, 6.061472509526401e-06, 7.83886771910724e-09
24, 48, 2.8172563962983125e-05, 1.5136186717474144e-07, 9.806713845037199e-07, 2.9304597214661587e-05, 6.396533333333332e-05, 7.244420250408273e-06, 1.241154055525313e-08
24, 64, 2.8841045182362548e-05, 1.3628089275993467e-07, 1.0547036835420068e-06, 3.003202975866449e-05, 6.744693333333334e-05, 9.659227000544366e-06, 1.7419706042460533e-08
24, 96, 3.4267283614589004e-05, 2.3998856831790964e-07, 1.1965088005806568e-06, 3.570378098348757e-05, 7.441013333333332e-05, 1.4488840500816547e-05, 2.874251497005988e-08
24, 128, 3.9585193249863914e-05, 2.9373688985665034e-07, 1.3633547450553439e-06, 4.124228488477591e-05, 8.137333333333333e-05, 1.931845400108873e-05, 4.6452549446561425e-08
24, 192, 4.935383777898748e-05, 5.099292324442025e-07, 1.7003128288876793e-06, 5.156407984031936e-05, 9.529973333333332e-05, 2.8977681001633093e-05, 1.045182362547632e-07
24, 384, 8.420685900925422e-05, 1.2044463799673382e-06, 3.0380780257666487e-06, 8.844938341498821e-05, 0.0001370789333333333, 5.7955362003266186e-05, 4.180729450190528e-07
48, 1, 2.9655740017361115e-06, 1.1154513888888888e-10, 3.976585011794592e-07, 3.3633440480544597e-06, 5.373813333333333e-05, 2.90584278885411e-06, 1.0929844855743059e-10
48, 16, 8.795318454001089e-06, 6.176333696243875e-08, 8.474985937216476e-07, 9.704580384685175e-06, 5.700213333333333e-05, 3.0269631192161134e-06, 1.8508437670114316e-09
48, 32, 1.05748502994012e-05, 7.077874553922459e-08, 9.020127018689893e-07, 1.1547641746809413e-05, 6.0483733333333325e-05, 3.156158138268917e-06, 3.91943385955362e-09
48, 48, 1.3219923788786064e-05, 1.2013277989475595e-07, 9.567207403375068e-07, 1.4296777309018326e-05, 6.396533333333332e-05, 3.6222101252041366e-06, 6.205770277626565e-09
48, 64, 1.3768644529123572e-05, 9.115369261477046e-08, 1.0201386318272546e-06, 1.4879936853565595e-05, 6.744693333333334e-05, 4.829613500272183e-06, 8.709853021230266e-09
48, 96, 1.660043549265106e-05, 1.6618744329522772e-07, 1.1276501542369806e-06, 1.7894273090183268e-05, 7.441013333333332e-05, 7.244420250408273e-06, 1.437125748502994e-08
48, 128, 2.1333696243875884e-05, 1.8646246900139115e-07, 1.259385229540918e-06, 2.2779543942418193e-05, 8.137333333333333e-05, 9.659227000544366e-06, 2.3226274723280713e-08
48, 192, 2.6305933587370713e-05, 3.507058610052622e-07, 1.5171402649246961e-06, 2.817377971330067e-05, 9.529973333333332e-05, 1.4488840500816547e-05, 5.22591181273816e-08
48, 384, 4.767827980402831e-05, 7.997764471057884e-07, 2.449360188713482e-06, 5.0927416439847574e-05, 0.0001370789333333333, 2.8977681001633093e-05, 2.090364725095264e-07
96, 1, 1.4854535590277778e-06, 5.577256944444444e-11, 3.976585011794592e-07, 1.8831678327766816e-06, 5.373813333333333e-05, 1.455534244011976e-06, 5.4649224278715294e-11
96, 16, 5.5476320087098535e-06, 5.87915078933043e-08, 8.464098620939938e-07, 6.452833378697152e-06, 5.700213333333333e-05, 1.5748843222645619e-06, 9.254218835057158e-10
96, 32, 6.933587370713119e-06, 6.369080021774632e-08, 8.934192524042823e-07, 7.890697423335148e-06, 6.0483733333333325e-05, 1.7021910724006531e-06, 1.95971692977681e-09
96, 48, 8.63745236799129e-06, 1.0887316276537834e-07, 9.472324895663218e-07, 9.69355802032299e-06, 6.396533333333332e-05, 1.8956995100707675e-06, 3.1028851388132825e-09
96, 64, 9.147523135547087e-06, 7.512248230811104e-08, 9.94554890219561e-07, 1.0217200508074759e-05, 6.744693333333334e-05, 2.412629286880784e-06, 4.354926510615133e-09
96, 96, 1.121720195971693e-05, 1.3445835601524225e-07, 1.097167120304845e-06, 1.2448827436037017e-05, 7.441013333333332e-05, 3.6189439303211755e-06, 7.18562874251497e-09
96, 128, 1.38704409363092e-05, 1.2847033206314644e-07, 1.2161103248049357e-06, 1.5215021593177281e-05, 8.137333333333333e-05, 4.825258573761568e-06, 1.1613137361640356e-08
96, 192, 1.6716929776810015e-05, 2.482308111050626e-07, 1.422152059517329e-06, 1.8387312647432407e-05, 9.529973333333332e-05, 7.237887860642351e-06, 2.61295590636908e-08
96, 384, 2.9571039738704408e-05, 5.498094719651605e-07, 2.1594919252404283e-06, 3.2280341135909996e-05, 0.0001370789333333333, 1.4475775721284702e-05, 1.045182362547632e-07
