B, M, K, N, latency
1, 32, 8192, 8192, 3.7163309744148065e-05
1, 32, 8192, 2048, 9.616766467065869e-06
8, 256, 128, 256, 8.999504022258513e-07
8, 256, 256, 128, 8.288538075364422e-07
8, 8, 128, 1, 5.034722222222222e-09
8, 8, 1, 128, 3.328464283554104e-08
1, 32, 8192, 28672, 0.00012870386499727818
1, 32, 28672, 8192, 0.00012947468698965706
1, 64, 8192, 8192, 3.750299401197605e-05
1, 64, 8192, 2048, 9.904735982580293e-06
8, 512, 128, 256, 1.5070319966128349e-06
8, 512, 256, 128, 1.3975007560636303e-06
1, 64, 8192, 28672, 0.00012939194338595537
1, 64, 28672, 8192, 0.00013098312465977137
1, 128, 8192, 8192, 3.85405552531301e-05
1, 128, 8192, 2048, 1.0753946652150246e-05
8, 1024, 128, 256, 2.5998016089034055e-06
8, 1024, 256, 128, 2.394892638964495e-06
1, 128, 8192, 28672, 0.00013103919433859554
1, 128, 28672, 8192, 0.00013461404463799675
1, 257, 8192, 8192, 6.108655416439847e-05
1, 257, 8192, 2048, 1.7506260206859008e-05
8, 2048, 128, 256, 4.7722760539527015e-06
8, 2048, 256, 128, 4.122392790177221e-06
1, 257, 8192, 28672, 0.00020198366902558518
1, 257, 28672, 8192, 0.00020627436037016876
1, 64, 8192, 4096, 1.9125204137180186e-05
1, 64, 8192, 1024, 5.231899836690256e-06
4, 512, 128, 256, 8.02881509707857e-07
4, 512, 256, 128, 7.996443476682998e-07
4, 8, 128, 1, 2.517361111111111e-09
4, 8, 1, 128, 3.0518054799491926e-08
1, 64, 4096, 8192, 1.8946107784431138e-05
1, 64, 8192, 14336, 6.506967882416985e-05
1, 64, 14336, 8192, 6.56254763200871e-05
1, 128, 8192, 4096, 2.0040827436037017e-05
1, 128, 8192, 1024, 5.813282525857376e-06
4, 1024, 128, 256, 1.3918272545817455e-06
4, 1024, 256, 128, 1.3401705679549991e-06
1, 128, 4096, 8192, 1.9824169842133913e-05
1, 128, 8192, 14336, 6.629014697876974e-05
1, 128, 14336, 8192, 6.725258573761568e-05
1, 257, 8192, 4096, 3.225258573761568e-05
1, 257, 8192, 1024, 9.536744692433315e-06
4, 2048, 128, 256, 2.569718744329523e-06
4, 2048, 256, 128, 2.324325893667211e-06
1, 257, 4096, 8192, 3.232172019597169e-05
1, 257, 8192, 14336, 0.00010383886771910724
1, 257, 14336, 8192, 0.00010558845944474688
1, 128, 8192, 512, 3.4099074578116494e-06
2, 1024, 128, 256, 7.774971269582048e-07
2, 1024, 256, 128, 7.646331579265711e-07
2, 8, 128, 1, 1.2586805555555555e-09
2, 8, 1, 128, 2.9406943688380812e-08
1, 128, 2048, 8192, 1.0389221556886227e-05
1, 128, 8192, 7168, 3.391562329885683e-05
1, 128, 7168, 8192, 3.4875340228633644e-05
1, 257, 8192, 512, 5.4866630375612415e-06
2, 2048, 128, 256, 1.4477541885925118e-06
2, 2048, 256, 128, 1.2979108449767133e-06
1, 257, 2048, 8192, 1.7593903102885137e-05
1, 257, 8192, 7168, 5.3878062057702776e-05
1, 257, 7168, 8192, 5.750299401197605e-05
1, 257, 8192, 256, 3.4376701143168208e-06
1, 2048, 128, 256, 8.08927599346761e-07
1, 2048, 256, 128, 7.310832879695155e-07
1, 8, 128, 1, 6.293402777777778e-10
1, 8, 1, 128, 2.8307022318998365e-08
1, 257, 1024, 8192, 1.0178551986935221e-05
1, 257, 8192, 3584, 2.864833968426783e-05
1, 257, 3584, 8192, 3.213173652694611e-05
1, 8, 8192, 8192, 3.6734893848666305e-05
1, 8, 8192, 2048, 9.324986390854654e-06
8, 64, 128, 256, 3.828536865662614e-07
8, 64, 256, 128, 3.653517208008226e-07
1, 8, 8192, 28672, 0.0001280141535111595
1, 8, 28672, 8192, 0.00012828034839412086
1, 16, 8192, 8192, 3.688840500816549e-05
1, 16, 8192, 2048, 9.437125748502993e-06
8, 128, 128, 256, 5.686469485271881e-07
8, 128, 256, 128, 5.341873828101373e-07
1, 16, 8192, 28672, 0.00012833151878062057
1, 16, 28672, 8192, 0.00012869134458356015
1, 16, 8192, 4096, 1.8597713663581927e-05
1, 16, 8192, 1024, 4.820903647250952e-06
4, 128, 128, 256, 3.233387769914716e-07
4, 128, 256, 128, 3.1572491380874616e-07
1, 16, 4096, 8192, 1.8548720740337508e-05
1, 16, 8192, 14336, 6.432444202504083e-05
1, 16, 14336, 8192, 6.448067501360914e-05
1, 32, 8192, 4096, 1.8855198693522046e-05
1, 32, 8192, 1024, 4.995100707675558e-06
4, 256, 128, 256, 4.926220286699329e-07
4, 256, 256, 128, 4.97535837416077e-07
1, 32, 4096, 8192, 1.8696788241698423e-05
1, 32, 8192, 14336, 6.46254763200871e-05
1, 32, 14336, 8192, 6.486554164398476e-05
1, 32, 8192, 512, 2.62874251497006e-06
2, 256, 128, 256, 2.881412931712333e-07
2, 256, 256, 128, 2.87783221435916e-07
1, 32, 2048, 8192, 9.470332063146434e-06
1, 32, 8192, 7168, 3.2586281981491565e-05
1, 32, 7168, 8192, 3.2723462166575936e-05
1, 64, 8192, 512, 2.854109961894393e-06
2, 512, 128, 256, 4.423685961410512e-07
2, 512, 256, 128, 4.6832637754793444e-07
1, 64, 2048, 8192, 9.735982580293958e-06
1, 64, 8192, 7168, 3.2908546543277084e-05
1, 64, 7168, 8192, 3.337071311921611e-05
1, 64, 8192, 256, 1.6107784431137726e-06
1, 512, 128, 256, 2.623843222645618e-07
1, 512, 256, 128, 2.7708219923788785e-07
1, 64, 1024, 8192, 5.135002721829069e-06
