B, M, K, N, latency
1, 8, 128, 1, 6.293402777777778e-10
1, 8, 128, 2, 2.939575394665215e-08
1, 8, 128, 4, 2.939575394665215e-08
1, 8, 128, 8, 2.994011976047904e-08
1, 8, 128, 16, 3.1028851388132825e-08
1, 8, 128, 32, 3.320631464344039e-08
1, 8, 128, 64, 3.592814371257485e-08
1, 8, 128, 128, 4.300489929232444e-08
1, 8, 128, 256, 5.5525313010342954e-08
1, 8, 128, 512, 8.383233532934132e-08
1, 8, 128, 1024, 1.30647795318454e-07
1, 8, 128, 2048, 2.155688622754491e-07
1, 8, 128, 4096, 3.6799129014697877e-07
1, 8, 128, 8192, 6.728361458900381e-07
1, 8, 128, 16384, 1.2825258573761568e-06
1, 8, 128, 32768, 2.501905280348394e-06
1, 8, 128, 65536, 4.940664126292869e-06
1, 8, 128, 131072, 9.817637452367991e-06
1, 128, 1, 512, 7.675557974959173e-08
1, 128, 2, 512, 7.784431137724551e-08
1, 128, 4, 512, 7.947740881872618e-08
1, 128, 8, 512, 8.274360370168754e-08
1, 128, 16, 512, 8.873162765378335e-08
1, 128, 32, 512, 1.0832879695155144e-07
1, 128, 64, 512, 1.3881328252585738e-07
1, 128, 128, 512, 1.8726183995645073e-07
1, 128, 256, 512, 2.7708219923788785e-07
1, 128, 512, 512, 4.3277082199237887e-07
1, 128, 1024, 512, 6.929776810016331e-07
1, 128, 2048, 512, 1.1464344039194338e-06
1, 128, 4096, 512, 1.9009254218835056e-06
1, 128, 8192, 512, 3.4099074578116494e-06
1, 128, 16384, 512, 6.32226456178552e-06
1, 128, 32768, 512, 1.2018508437670115e-05
1, 128, 65536, 512, 2.3410996189439304e-05
1, 128, 131072, 512, 4.619597169297768e-05
1, 8, 128, 3, 2.939575394665215e-08
1, 8, 128, 6, 2.939575394665215e-08
1, 8, 128, 10, 2.994011976047904e-08
1, 8, 128, 21, 3.1028851388132825e-08
1, 8, 128, 55, 3.538377789874796e-08
1, 8, 128, 74, 3.7016875340228634e-08
1, 8, 128, 176, 4.735982580293958e-08
1, 8, 128, 494, 8.165487207403375e-08
1, 8, 128, 569, 9.14534567229178e-08
1, 8, 128, 1792, 1.9760479041916167e-07
1, 8, 128, 3742, 3.462166575939031e-07
1, 8, 128, 6703, 5.710397387044094e-07
1, 8, 128, 13306, 1.0533478497550354e-06
1, 8, 128, 25073, 1.940119760479042e-06
1, 8, 128, 52077, 3.934676102340773e-06
1, 8, 128, 74614, 5.612411540555253e-06
1, 128, 6703, 512, 3.0070767555797496e-06
1, 128, 13306, 512, 5.287425149700599e-06
1, 128, 25073, 512, 9.452912357103975e-06
1, 128, 52077, 512, 1.8796407185628742e-05
1, 128, 74614, 512, 2.663037561241154e-05
1, 128, 6, 512, 5020888425.070645
1, 128, 10, 512, 5020888425.070645
1, 128, 21, 512, 9.689711486118672e-08
1, 128, 55, 512, 1.3228089275993466e-07
1, 128, 74, 512, 1.5133369624387588e-07
1, 128, 176, 512, 2.3625476320087099e-07
1, 128, 494, 512, 4.262384322264562e-07
1, 128, 569, 512, 5.242242787152966e-07
1, 128, 1792, 512, 1.1066956995100708e-06
1, 128, 3742, 512, 1.8933043004899292e-06
1, 8, 128, 24, 3.211758301578661e-08
1, 8, 128, 48, 3.429504627109418e-08
1, 8, 128, 96, 3.91943385955362e-08
1, 8, 128, 192, 4.899292324442025e-08
1, 8, 128, 384, 7.022318998366903e-08
1, 8, 128, 768, 1.1268372346216658e-07
1, 8, 128, 1536, 1.774632553075667e-07
1, 8, 128, 3084, 3.1845400108873163e-07
1, 8, 128, 6144, 5.204137180185084e-07
1, 128, 24, 512, 1.894393032117583e-07
1, 128, 48, 512, 2.155688622754491e-07
1, 128, 96, 512, 2.569406641262929e-07
1, 128, 192, 512, 3.271638541099619e-07
1, 128, 384, 512, 4.5400108873162766e-07
1, 128, 768, 512, 6.652150244964617e-07
1, 128, 1536, 512, 9.657049537289057e-07
1, 128, 3084, 512, 1.6309199782253675e-06
1, 128, 6144, 512, 2.6554164398475776e-06
1, 128, 3, 512, 5020888425.070645
