request_id,request_type,application_id,arrival_timestamp,batch_size,prompt_size,token_size
0,2,0,1.5845171496211203,1,34674,1995
1,2,0,4.593146708412641,1,26492,418
2,2,0,5.167913846160213,1,36960,131
3,2,0,7.4389748768032185,1,34412,1410
4,2,0,10.637178575137373,1,40451,151
5,2,0,14.555878629541969,1,19872,1698
6,2,0,17.374925709204014,1,51611,372
7,2,0,19.38738252674446,1,29731,680
8,2,0,21.6361342882006,1,100296,158
9,2,0,24.638730469356894,1,104122,102
10,2,0,26.185251312504068,1,11285,801
11,2,0,27.5382928798345,1,93017,1353
12,2,0,27.77564814043426,1,69979,438
13,2,0,28.036251718863262,1,31536,426
14,2,0,28.301607046214244,1,44399,173
15,2,0,28.73983762124351,1,48496,70
16,2,0,31.7808420014469,1,50199,734
17,2,0,33.77826611371311,1,20994,794
18,2,0,34.29712808277647,1,32487,883
19,2,0,34.46627432989053,1,14413,486
20,2,0,34.467832862389784,1,29076,192
21,2,0,37.07717452577323,1,67770,304
22,2,0,40.3631882391646,1,18624,150
23,2,0,42.30738973897696,1,83147,198
24,2,0,44.0744979783869,1,22118,210
25,2,0,45.92976909709138,1,41929,580
26,2,0,49.18451235675257,1,18312,51
27,2,0,49.6711421883225,1,22356,66
28,2,0,51.09245541791103,1,16437,201
29,2,0,55.80535293495913,1,81822,649
30,2,0,57.042386538447616,1,10644,544
31,2,0,58.88411619425887,1,30811,1660
32,2,0,61.647382403501716,1,23223,115
33,2,0,62.30617334373278,1,22760,45
34,2,0,65.79829736426737,1,21816,303
35,2,0,69.91930580724048,1,38310,39
36,2,0,70.54567973699656,1,25957,510
37,2,0,72.85186797695319,1,9971,393
38,2,0,74.58615989745473,1,14704,419
39,2,0,75.44781452635391,1,10697,479
40,2,0,78.0764271769323,1,21511,549
41,2,0,78.63008321680454,1,63777,315
42,2,0,81.43285965942422,1,16424,854
43,2,0,86.42842740427766,1,23263,125
44,2,0,93.9318156123881,1,55086,118
45,2,0,94.63813185095486,1,23156,299
46,2,0,96.93532777440764,1,48266,226
47,2,0,98.07392025272642,1,36546,101
48,2,0,103.03524268355993,1,14854,209
49,2,0,104.20614270078757,1,73263,212
50,2,0,105.54361972094061,1,17133,852
51,2,0,105.69447198956655,1,23806,491
52,2,0,108.07075234085498,1,68639,282
53,2,0,109.24495269101999,1,15138,66
54,2,0,109.40515223173979,1,15333,628
55,2,0,109.86312674845924,1,9099,196
56,2,0,110.59427674725032,1,29906,44
57,2,0,110.59918415316281,1,10856,72
58,2,0,111.61931532421515,1,19960,373
59,2,0,111.91422802783461,1,29971,56
60,2,0,118.9517596605827,1,57059,377
61,2,0,118.95373018798013,1,25417,341
62,2,0,119.07158326064406,1,6060,107
63,2,0,121.44126684470298,1,35255,360
64,2,0,129.16759606112245,1,40207,148
65,2,0,131.98371574806617,1,10505,66
66,2,0,134.25379923729867,1,9001,149
67,2,0,134.38770517291536,1,41013,229
68,2,0,134.4776497611032,1,39385,81
69,2,0,137.11333340149523,1,9523,786
70,2,0,141.33782969465415,1,37479,223
71,2,0,141.98915530666906,1,21828,280
72,2,0,142.03517420868528,1,95904,65
73,2,0,143.64016783274403,1,36598,376
74,2,0,144.04448306306838,1,130639,250
75,2,0,144.1685165045517,1,16174,252
76,2,0,144.62043081847804,1,23487,1124
77,2,0,150.03487678560964,1,51158,535
78,2,0,156.43553111891046,1,25467,57
79,2,0,157.9213459903152,1,77834,174
