request_id,request_type,application_id,arrival_timestamp,batch_size,prompt_size,token_size
0,2,0,18.63930262133905,1,772,12
1,2,0,25.78636160626631,1,4058,15
2,2,0,77.04415712148119,1,620,17
3,2,0,80.64851010563825,1,364,20
4,2,0,81.79030634908298,1,992,8
5,2,0,85.87125811955224,1,695,46
6,2,0,86.4602035475488,1,153,45
7,2,0,92.92487517741844,1,1481,81
8,2,0,94.67316125085861,1,4320,31
9,2,0,95.92118551813921,1,1625,102
10,2,0,102.42679367235273,1,1470,43
11,2,0,103.29957930568129,1,2582,9
12,2,0,105.61378887977327,1,1348,6
13,2,0,106.00358921433131,1,247,31
14,2,0,111.5845821393143,1,853,19
15,2,0,116.63427662935348,1,409,7
16,2,0,118.44510180123717,1,1864,10
17,2,0,123.44661123188453,1,1693,8
18,2,0,126.45822067257518,1,3113,13
19,2,0,131.64585664677574,1,5415,12
20,2,0,134.2504845093945,1,276,24
21,2,0,145.90495845177165,1,4758,53
22,2,0,154.3243379867668,1,4796,6
23,2,0,156.56469624193875,1,1042,7
24,2,0,165.97556422909696,1,1049,9
25,2,0,172.05927177989435,1,3671,68
26,2,0,172.62111268990222,1,7435,14
27,2,0,180.1342182428968,1,1860,6
28,2,0,180.5820290797546,1,1926,23
29,2,0,186.76561471367802,1,14,13
30,2,0,187.22230009325756,1,2216,7
31,2,0,189.43606536074628,1,1805,8
32,2,0,205.63098864262318,1,65,8
33,2,0,213.08093580050476,1,5523,15
34,2,0,216.52825741989395,1,4698,18
35,2,0,216.71595240985997,1,4115,73
36,2,0,220.02045885515605,1,522,8
37,2,0,223.29079482459923,1,1711,15
38,2,0,224.56617290867888,1,210,6
39,2,0,225.42867347227872,1,1960,71
40,2,0,229.4978358560901,1,3309,46
41,2,0,236.05019457105854,1,93,14
42,2,0,236.21965367542634,1,1032,11
43,2,0,246.38502498048635,1,3120,7
44,2,0,256.42865343647696,1,3616,36
45,2,0,267.5933719195971,1,4504,6
46,2,0,276.1819042788601,1,1301,16
47,2,0,277.3518894184963,1,186,18
48,2,0,285.3140243383062,1,748,18
49,2,0,298.0067460763914,1,5219,8
50,2,0,302.4052564870337,1,1739,151
51,2,0,302.46353083198807,1,352,16
52,2,0,305.3096658778754,1,22,12
53,2,0,310.68058490994287,1,1050,16
54,2,0,312.1286365793995,1,21,10
55,2,0,322.37390170248324,1,1798,16
56,2,0,322.4458537452911,1,1227,16
57,2,0,336.682402255819,1,2414,27
58,2,0,338.7513596369492,1,2572,22
59,2,0,342.45641708608275,1,498,28
60,2,0,348.6102657248923,1,4623,10
61,2,0,359.44837686776566,1,5636,22
62,2,0,365.7795122135616,1,7435,16
63,2,0,367.706532304792,1,1344,9
64,2,0,369.1623921890032,1,873,12
65,2,0,370.0423474925716,1,900,7
66,2,0,370.91810871573335,1,76,12
67,2,0,382.9323001083941,1,617,18
68,2,0,390.472827572917,1,842,6
69,2,0,396.1640093852593,1,2699,19
70,2,0,398.19883843278325,1,527,379
71,2,0,398.5037374144976,1,1942,10
72,2,0,407.4934603050306,1,765,27
73,2,0,408.0285485991779,1,2656,9
74,2,0,411.09394043399277,1,389,7
75,2,0,412.8644822517289,1,7436,12
76,2,0,414.55324248139493,1,578,13
77,2,0,446.43352398776256,1,2075,6
78,2,0,449.335795223604,1,2361,13
79,2,0,468.56591913453894,1,124,22
80,2,0,469.72519906000525,1,2711,14
81,2,0,474.39313114270146,1,4176,12
82,2,0,483.73919354870145,1,1911,15
83,2,0,496.4577992917476,1,1135,14
