request_id,request_type,application_id,arrival_timestamp,batch_size,prompt_size,token_size
0,2,0,0.79587450816311,1,730,17
1,2,0,2.0518052711289476,1,4574,9
2,2,0,2.9750284169330166,1,3686,8
3,2,0,3.7622295692502874,1,7435,13
4,2,0,4.3132780603457865,1,1900,47
5,2,0,5.351437355289396,1,2090,6
6,2,0,5.926956554458036,1,7435,30
7,2,0,8.150480967490692,1,1157,15
8,2,0,11.465393149544505,1,3328,8
9,2,0,11.948995250446758,1,594,12
10,2,0,13.517891390415926,1,105,6
11,2,0,14.270565499952514,1,1073,14
12,2,0,15.109998346691338,1,389,6
13,2,0,17.70825250061678,1,4745,15
14,2,0,17.781937855529627,1,1225,99
15,2,0,17.873098884648627,1,830,6
16,2,0,17.893524471332853,1,89,85
17,2,0,19.68101215094774,1,901,26
18,2,0,21.186796382812958,1,28,61
19,2,0,23.22711066375851,1,4789,18
20,2,0,27.07233250192536,1,3563,7
21,2,0,28.677572060875505,1,1850,13
22,2,0,29.296501519488473,1,2045,16
23,2,0,30.813037496368626,1,1328,38
24,2,0,30.93891190819917,1,129,12
25,2,0,31.960343794591243,1,64,125
26,2,0,32.11507347731889,1,1542,28
27,2,0,35.00949392701041,1,4642,333
28,2,0,35.74732120532147,1,364,8
29,2,0,36.28288692362223,1,4397,18
30,2,0,36.590167276712684,1,1913,13
31,2,0,38.078422115439416,1,161,97
32,2,0,38.6875045317425,1,737,6
33,2,0,39.52783923861011,1,7436,8
34,2,0,39.5468078102725,1,47,18
35,2,0,40.50818873946736,1,2705,18
36,2,0,41.455185417311135,1,34,7
37,2,0,42.41473339004037,1,4356,58
38,2,0,45.292648468781394,1,2942,8
39,2,0,46.43778742743177,1,476,13
40,2,0,46.88330592016301,1,513,67
41,2,0,47.457838328920495,1,1938,7
42,2,0,48.65394613005387,1,3469,9
43,2,0,48.716061425979184,1,7422,19
44,2,0,49.814973906037224,1,1358,25
45,2,0,50.925571339331604,1,2430,135
46,2,0,51.16177804466561,1,3750,6
47,2,0,51.29980673229806,1,821,7
48,2,0,51.67876869843453,1,749,7
49,2,0,52.130870754780915,1,2027,23
50,2,0,52.975298535431826,1,1823,9
51,2,0,53.55262284636142,1,684,12
52,2,0,58.00712022697048,1,3112,20
53,2,0,58.11475533950577,1,2187,337
54,2,0,58.34905685513873,1,661,10
55,2,0,58.52497040857333,1,2293,12
56,2,0,59.58371313347975,1,861,16
57,2,0,59.87579366838702,1,1181,8
58,2,0,60.50373524946121,1,2780,46
59,2,0,60.78401226316407,1,155,15
60,2,0,60.95713971593728,1,7431,10
61,2,0,61.07409512797843,1,100,18
62,2,0,62.14216731777758,1,1166,18
63,2,0,62.29087958916587,1,1761,42
64,2,0,62.50976019187091,1,7435,73
65,2,0,62.96977415743063,1,2149,15
66,2,0,64.69010580920867,1,104,44
67,2,0,64.79225069587324,1,195,45
68,2,0,66.61206962026824,1,76,11
69,2,0,66.71310440307349,1,195,21
70,2,0,70.46213585377808,1,512,14
71,2,0,71.09447245644346,1,7434,31
72,2,0,74.856399628563,1,3469,39
73,2,0,75.78487812984643,1,1785,13
74,2,0,77.12912339453315,1,416,9
75,2,0,77.16909969701666,1,1047,18
76,2,0,77.50150994231329,1,241,16
77,2,0,77.62956670378782,1,3200,8
78,2,0,77.98074279065135,1,797,16
79,2,0,78.10713143237045,1,93,16
80,2,0,78.48983239016808,1,7435,12
81,2,0,79.02471677641243,1,4358,10
82,2,0,79.09101417290347,1,210,38
83,2,0,80.27020370003382,1,254,12
84,2,0,81.10630124526445,1,4228,6
85,2,0,81.41471608513629,1,881,22
86,2,0,82.15547503672374,1,1032,23
87,2,0,82.254125350404,1,775,30
88,2,0,83.11202099238943,1,2951,24
89,2,0,85.76127691740062,1,98,90
90,2,0,86.14483712784306,1,3474,27
91,2,0,87.24568304910322,1,3231,6
92,2,0,87.38701376312245,1,3309,8
93,2,0,88.64694759533016,1,1197,6
94,2,0,88.98860176513196,1,2147,7
95,2,0,89.19095220191201,1,2342,28
96,2,0,90.07408124820161,1,981,13
97,2,0,90.09439370254876,1,1321,15
98,2,0,91.86013478018012,1,7435,18
99,2,0,91.86484131475082,1,2035,129
100,2,0,92.99747544893862,1,2137,13
101,2,0,93.31219711601901,1,428,19
102,2,0,94.64095499612738,1,1943,92
103,2,0,97.91609817916986,1,1235,14
104,2,0,98.20211915669731,1,175,12
105,2,0,99.06051212105183,1,261,67
106,2,0,99.95710300363638,1,1968,23
107,2,0,100.806323825241,1,1373,34
108,2,0,101.05874382068835,1,1050,14
109,2,0,104.11102552567411,1,53,18
110,2,0,104.70364955328395,1,3181,11
111,2,0,106.5771094745471,1,3534,21
112,2,0,107.77934803460268,1,679,18
