request_id,request_type,application_id,arrival_timestamp,batch_size,prompt_size,token_size
0,2,0,0.41082898318731254,1,386,56
1,2,0,0.4589655447105728,1,4078,111
2,2,0,0.7897167569387058,1,1005,389
3,2,0,0.9010014668600976,1,308,423
4,2,0,1.4596231779737852,1,1134,397
5,2,0,2.9772128526971793,1,1017,405
6,2,0,3.196041274421509,1,1049,101
7,2,0,3.569662369634384,1,997,410
8,2,0,6.09148669277063,1,995,136
9,2,0,6.226455902659664,1,396,384
10,2,0,6.9876413648783915,1,1888,92
11,2,0,7.6174350460991,1,1102,82
12,2,0,9.021746378723769,1,1160,103
13,2,0,11.671578720405172,1,1189,413
14,2,0,11.746905879346542,1,373,415
15,2,0,12.95252391609258,1,209,108
16,2,0,17.233041280328194,1,998,217
17,2,0,17.91468144439814,1,189,55
18,2,0,18.274660566230455,1,404,377
19,2,0,18.31480035167823,1,987,106
20,2,0,18.977596928221345,1,215,61
21,2,0,19.578293025170144,1,20,257
22,2,0,22.279075446648395,1,387,75
23,2,0,22.89056300178366,1,403,77
24,2,0,23.693053242968976,1,724,46
25,2,0,25.284497495690232,1,421,401
26,2,0,25.528717958048215,1,1792,84
27,2,0,28.405652021421655,1,383,396
28,2,0,32.195660110062235,1,2635,47
29,2,0,33.46242467670672,1,1212,44
30,2,0,35.15246622832718,1,1057,147
31,2,0,37.22157751947379,1,203,69
32,2,0,37.42884067490067,1,169,426
33,2,0,37.51510135151488,1,1150,46
34,2,0,38.0868724286618,1,374,27
35,2,0,38.576325889340445,1,928,397
36,2,0,38.827121971002676,1,1107,394
37,2,0,38.995244802726035,1,1044,99
38,2,0,39.42571901659367,1,406,436
39,2,0,39.733721726408106,1,415,84
40,2,0,40.208822721251934,1,1011,415
41,2,0,43.19506367932137,1,398,406
42,2,0,43.48417746702565,1,414,115
43,2,0,43.73659436749699,1,169,84
44,2,0,45.00678579351442,1,1065,396
45,2,0,45.07589158559614,1,395,180
46,2,0,47.79780841312015,1,1052,375
47,2,0,47.837061558816394,1,1059,382
48,2,0,48.60638891552864,1,1118,63
49,2,0,48.833222583925256,1,1029,179
50,2,0,49.97011883932753,1,3817,53
51,2,0,50.27767128928062,1,419,104
52,2,0,51.54596428142491,1,4151,261
53,2,0,53.12821973256745,1,2383,593
54,2,0,54.737260610607734,1,397,95
55,2,0,54.95230207033285,1,428,93
56,2,0,55.05645212179444,1,1045,444
57,2,0,56.33786489254309,1,4097,48
58,2,0,58.580528122452236,1,420,106
59,2,0,58.74726376226019,1,405,18
60,2,0,59.743126420292405,1,1169,396
61,2,0,59.75455894971982,1,1058,84
62,2,0,60.22676984947384,1,412,29
63,2,0,63.91165296373546,1,513,85
64,2,0,65.50215219940722,1,389,91
65,2,0,65.56853169043447,1,401,88
66,2,0,68.50116803117355,1,197,598
67,2,0,69.02510657626182,1,2146,16
68,2,0,71.05238069364368,1,1105,397
69,2,0,77.16981422051418,1,724,18
70,2,0,79.96789710051482,1,409,393
71,2,0,80.04774617056081,1,14,257
72,2,0,81.11182465879698,1,202,105
73,2,0,81.57682343598741,1,1352,89
74,2,0,83.7724808955884,1,1263,172
75,2,0,84.07900878648918,1,405,99
76,2,0,85.47829628170972,1,1325,447
77,2,0,90.01666184841159,1,952,193
78,2,0,92.95637227394371,1,1071,163
79,2,0,93.00413616643668,1,1047,104
80,2,0,93.99541651911126,1,1063,394
81,2,0,94.38895812676603,1,1136,102
82,2,0,94.81993411746673,1,403,217
83,2,0,97.42962432263728,1,45,163
84,2,0,97.66096311522442,1,218,419
85,2,0,97.71417658313977,1,408,373
86,2,0,98.19401886061965,1,1044,84
87,2,0,99.98223130513774,1,908,126
88,2,0,100.43873142239565,1,4077,109
89,2,0,101.2072684288636,1,243,396
90,2,0,101.4868062411625,1,1313,394
91,2,0,102.90476332046087,1,446,103
92,2,0,105.25838272206835,1,4087,96
93,2,0,105.60296626072778,1,1033,151
94,2,0,107.52601952924934,1,212,241
95,2,0,107.96192913700075,1,333,100
96,2,0,110.03945297997296,1,383,177
97,2,0,110.33001195742528,1,400,107
98,2,0,111.55237104271166,1,1080,50
99,2,0,112.44552149214547,1,1130,174
100,2,0,113.33584063869012,1,308,411
101,2,0,114.39880007820449,1,379,393
102,2,0,117.6265567926888,1,1055,56
103,2,0,119.16526795832873,1,1032,428
104,2,0,119.31555985238212,1,291,402
105,2,0,120.17187663296598,1,940,407
106,2,0,120.42504615963875,1,309,393
107,2,0,122.23522477851006,1,1200,431
108,2,0,123.1063976800152,1,987,16
109,2,0,128.07590897780176,1,1074,156
110,2,0,129.67327856150052,1,1050,390
111,2,0,129.68818389229884,1,1014,41
112,2,0,133.32020014813972,1,1092,123
113,2,0,133.5972411472992,1,1141,123
114,2,0,133.78427332312287,1,452,211
115,2,0,134.45864818889646,1,399,154
116,2,0,135.31377687672682,1,1100,396
117,2,0,135.36658089042479,1,4081,418
118,2,0,137.71415860978615,1,1203,143
119,2,0,140.19732249517799,1,394,127
120,2,0,140.55100611826313,1,1249,373
121,2,0,141.792318614063,1,396,396
122,2,0,143.55459081412394,1,2878,420
123,2,0,145.63925499512163,1,383,378
124,2,0,147.36921439995712,1,181,128
125,2,0,148.1907149211526,1,4083,74
126,2,0,148.24162628887555,1,397,86
127,2,0,148.27236133475145,1,1315,531
128,2,0,148.8635663534635,1,1031,122
129,2,0,149.07785539106797,1,1326,65
130,2,0,150.40135219528378,1,58,396
131,2,0,152.24299078377732,1,212,93
132,2,0,156.27798361646646,1,4134,124
133,2,0,156.31119780108753,1,997,46
134,2,0,157.51723480385573,1,4086,429
135,2,0,157.82571449655063,1,455,132
136,2,0,158.11943107965726,1,1785,76
137,2,0,159.5790814076172,1,4073,59
138,2,0,162.2574538624674,1,396,619
139,2,0,164.29575345806998,1,374,386
140,2,0,164.30940245794287,1,399,112
141,2,0,166.48174997561762,1,398,64
142,2,0,167.28276291061144,1,1013,415
143,2,0,167.29515599360798,1,385,123
144,2,0,167.46393565755253,1,433,403
145,2,0,169.45493804770675,1,407,85
146,2,0,170.20643428729718,1,995,394
147,2,0,172.03643362427638,1,375,428
148,2,0,172.24479361161912,1,4078,398
149,2,0,173.623253209875,1,430,80
150,2,0,174.21946945517158,1,7,74
