units: volts, uamps, V/I (relative delay)
0.001000, 0.0000017670, 565.930956423
0.002000, 0.0000035990, 555.709919422
0.003000, 0.0000054980, 545.652964714
0.004000, 0.0000074640, 535.9056806
0.005000, 0.0000094990, 526.371196968
0.006000, 0.0000116040, 517.063081696
0.007000, 0.0000137800, 507.982583454
0.008000, 0.0000160290, 499.095389606
0.009000, 0.0000183510, 490.436488475
0.010000, 0.0000207480, 481.974166185
0.011000, 0.0000232210, 473.709142586
0.012000, 0.0000257720, 465.621604842
0.013000, 0.0000284010, 457.730361607
0.014000, 0.0000311110, 450.001607149
0.015000, 0.0000339010, 442.464824046
0.016000, 0.0000367750, 435.07817811
0.017000, 0.0000397340, 427.845170383
0.018000, 0.0000427780, 420.777034924
0.019000, 0.0000459100, 413.853191026
0.020000, 0.0000491310, 407.074962854
0.021000, 0.0000524430, 400.434757737
0.022000, 0.0000558480, 393.92637158
0.023000, 0.0000593480, 387.544651884
0.024000, 0.0000629450, 381.285249027
0.025000, 0.0000666410, 375.144430606
0.026000, 0.0000704390, 369.113701217
0.027000, 0.0000743400, 363.196125908
0.028000, 0.0000783490, 357.375333444
0.029000, 0.0000824660, 351.660078093
0.030000, 0.0000866960, 346.036726031
0.031000, 0.0000910410, 340.505925902
0.032000, 0.0000955040, 335.064499916
0.033000, 0.0001000900, 329.70326706
0.034000, 0.0001048010, 324.424385263
0.035000, 0.0001096410, 319.223648088
0.036000, 0.0001146150, 314.095013742
0.037000, 0.0001197270, 309.036391123
0.038000, 0.0001249800, 304.048647784
0.039000, 0.0001303810, 299.123338523
0.040000, 0.0001359330, 294.26261467
0.041000, 0.0001416410, 289.46420881
0.042000, 0.0001475110, 284.724529018
0.043000, 0.0001535490, 280.040898996
0.044000, 0.0001597590, 275.414843608
0.045000, 0.0001661490, 270.841232869
0.046000, 0.0001727240, 266.320835553
0.047000, 0.0001794900, 261.853028024
0.048000, 0.0001864550, 257.434769784
0.049000, 0.0001936250, 253.066494513
0.050000, 0.0002010080, 248.746318554
0.051000, 0.0002086100, 244.475336753
0.052000, 0.0002164390, 240.252449882
