M,N,K,l1_tile_M,l1_tile_N,l1_tile_K,l1_loop_order,l0_M_tiling_factor,l0_N_tiling_factor,l0_K_tiling_factor,dataflow,cycle_count
64,32,8192,32,32,512,knm,4,1,1,os,1315
64,32,4096,32,32,512,knm,4,1,1,os,1162
64,32,8192,32,32,512,knm,1,2,2,os,884
64,32,4096,32,32,512,knm,1,2,2,os,731
64,32,8192,32,32,512,knm,2,1,2,os,884
64,32,4096,32,32,512,knm,2,1,2,os,731
64,32,8192,32,32,512,knm,2,2,1,os,852
64,32,4096,32,32,512,knm,2,2,1,os,699
64,32,8192,32,32,512,knm,1,1,4,os,948
64,32,4096,32,32,512,knm,1,1,4,os,795
64,32,8192,32,32,512,knm,1,4,1,os,1315
64,32,4096,32,32,512,knm,1,4,1,os,1162
64,32,8192,32,32,256,knm,4,1,1,os,882
64,32,4096,32,32,256,knm,4,1,1,os,729
64,32,8192,32,32,256,knm,1,2,2,os,628
64,32,4096,32,32,256,knm,1,2,2,os,475
64,32,8192,32,32,256,knm,2,1,2,os,628
64,32,4096,32,32,256,knm,2,1,2,os,475
64,32,8192,32,32,256,knm,2,2,1,os,596
64,32,4096,32,32,256,knm,2,2,1,os,443
64,32,8192,32,32,256,knm,1,1,4,os,692
64,32,4096,32,32,256,knm,1,1,4,os,539
64,32,8192,32,32,256,knm,1,4,1,os,882
64,32,4096,32,32,256,knm,1,4,1,os,729
64,32,4096,32,32,128,knm,4,1,1,os,473
64,32,4096,32,32,128,knm,1,2,2,os,347
64,32,4096,32,32,128,knm,2,1,2,os,347
64,32,4096,32,32,128,knm,2,2,1,os,315
64,32,4096,32,32,128,knm,1,1,4,os,411
64,32,4096,32,32,128,knm,1,4,1,os,473
64,32,2048,32,32,512,knm,4,1,1,os,1085
64,32,2048,32,32,512,knm,1,2,2,os,654
64,32,2048,32,32,512,knm,2,1,2,os,654
64,32,2048,32,32,512,knm,2,2,1,os,622
64,32,2048,32,32,512,knm,1,1,4,os,718
64,32,2048,32,32,512,knm,1,4,1,os,1085
64,32,2048,32,32,256,knm,4,1,1,os,652
64,32,2048,32,32,256,knm,1,2,2,os,398
64,32,2048,32,32,256,knm,2,1,2,os,398
64,32,2048,32,32,256,knm,2,2,1,os,366
64,32,2048,32,32,256,knm,1,1,4,os,462
64,32,2048,32,32,256,knm,1,4,1,os,652
64,32,2048,32,32,128,knm,4,1,1,os,396
64,32,2048,32,32,128,knm,1,2,2,os,270
64,32,2048,32,32,128,knm,2,1,2,os,270
64,32,2048,32,32,128,knm,2,2,1,os,238
64,32,2048,32,32,128,knm,1,1,4,os,334
64,32,2048,32,32,128,knm,1,4,1,os,396
64,32,2048,32,32,64,knm,4,1,1,os,268
64,32,2048,32,32,64,knm,1,2,2,os,206
64,32,2048,32,32,64,knm,2,1,2,os,206
64,32,2048,32,32,64,knm,2,2,1,os,174
64,32,2048,32,32,64,knm,1,1,4,os,270
64,32,2048,32,32,64,knm,1,4,1,os,268
64,32,1024,32,32,512,knm,4,1,1,os,1047
64,32,1024,32,32,512,knm,1,2,2,os,616
64,32,1024,32,32,512,knm,2,1,2,os,616
64,32,1024,32,32,512,knm,2,2,1,os,584
64,32,1024,32,32,512,knm,1,1,4,os,680
64,32,1024,32,32,512,knm,1,4,1,os,1047
64,32,1024,32,32,256,knm,4,1,1,os,614
64,32,1024,32,32,256,knm,1,2,2,os,360
64,32,1024,32,32,256,knm,2,1,2,os,360
64,32,1024,32,32,256,knm,2,2,1,os,328
64,32,1024,32,32,256,knm,1,1,4,os,424
64,32,1024,32,32,256,knm,1,4,1,os,614
64,32,1024,32,32,128,knm,4,1,1,os,358
64,32,1024,32,32,128,knm,1,2,2,os,232
64,32,1024,32,32,128,knm,2,1,2,os,232
64,32,1024,32,32,128,knm,2,2,1,os,200
64,32,1024,32,32,128,knm,1,1,4,os,296
64,32,1024,32,32,128,knm,1,4,1,os,358
64,32,1024,32,32,64,knm,4,1,1,os,230
64,32,1024,32,32,64,knm,1,2,2,os,168
64,32,1024,32,32,64,knm,2,1,2,os,168
64,32,1024,32,32,64,knm,2,2,1,os,136
64,32,1024,32,32,64,knm,1,1,4,os,232
64,32,1024,32,32,64,knm,1,4,1,os,230
64,32,1024,32,32,32,knm,4,1,1,os,166
64,32,1024,32,32,32,knm,1,2,2,os,136
64,32,1024,32,32,32,knm,2,1,2,os,136
64,32,1024,32,32,32,knm,2,2,1,os,104
64,32,1024,32,32,32,knm,1,1,4,os,200
64,32,1024,32,32,32,knm,1,4,1,os,166
64,64,8192,32,32,512,knm,4,1,1,os,1420
64,64,4096,32,32,512,knm,4,1,1,os,1215
64,64,8192,32,32,512,knm,1,2,2,os,989
64,64,4096,32,32,512,knm,1,2,2,os,784
64,64,8192,32,32,512,knm,2,1,2,os,989
64,64,4096,32,32,512,knm,2,1,2,os,784
64,64,8192,32,32,512,knm,2,2,1,os,957
64,64,4096,32,32,512,knm,2,2,1,os,752
64,64,8192,32,32,512,knm,1,1,4,os,1053
64,64,4096,32,32,512,knm,1,1,4,os,848
64,64,8192,32,32,512,knm,1,4,1,os,1420
64,64,4096,32,32,512,knm,1,4,1,os,1215
64,64,8192,32,32,256,knm,4,1,1,os,1496
64,64,4096,32,32,256,knm,4,1,1,os,782
64,64,8192,32,32,256,knm,1,2,2,os,988
64,64,4096,32,32,256,knm,1,2,2,os,528
64,64,8192,32,32,256,knm,2,1,2,os,988
64,64,4096,32,32,256,knm,2,1,2,os,528
64,64,8192,32,32,256,knm,2,2,1,os,924
64,64,4096,32,32,256,knm,2,2,1,os,496
64,64,8192,32,32,256,knm,1,1,4,os,1116
64,64,4096,32,32,256,knm,1,1,4,os,592
64,64,8192,32,32,256,knm,1,4,1,os,1496
64,64,4096,32,32,256,knm,1,4,1,os,782
64,64,8192,64,64,256,knm,4,1,1,os,1467
64,64,4096,64,64,256,knm,4,1,1,os,1262
64,64,8192,64,64,256,knm,1,2,2,os,1475
64,64,4096,64,64,256,knm,1,2,2,os,1270
64,64,8192,64,64,256,knm,2,1,2,os,1475
64,64,4096,64,64,256,knm,2,1,2,os,1270
64,64,8192,64,64,256,knm,2,2,1,os,1467
64,64,4096,64,64,256,knm,2,2,1,os,1262
64,64,8192,64,64,256,knm,1,1,4,os,1491
64,64,4096,64,64,256,knm,1,1,4,os,1286
64,64,8192,64,64,256,knm,1,4,1,os,1467
64,64,4096,64,64,256,knm,1,4,1,os,1262
64,64,4096,32,32,128,knm,4,1,1,os,811
64,64,4096,32,32,128,knm,1,2,2,os,559
64,64,4096,32,32,128,knm,2,1,2,os,559
64,64,4096,32,32,128,knm,2,2,1,os,495
64,64,4096,32,32,128,knm,1,1,4,os,687
