M, N, latency
24, 8192, 7.632008709853021e-07
48, 8192, 9.765922700054437e-07
96, 8192, 1.4033750680457268e-06
192, 8192, 2.2569406641262927e-06
32, 8192, 8.350571584104518e-07
64, 8192, 1.1192161132280894e-06
128, 8192, 1.688622754491018e-06
256, 8192, 2.8263473053892217e-06
384, 8192, 3.964071856287425e-06
80, 8192, 1.2618399564507348e-06
160, 8192, 1.9727817093086554e-06
320, 8192, 3.3946652150244966e-06
640, 8192, 6.239520958083833e-06
144, 8192, 1.8301578660860097e-06
288, 8192, 3.110506260206859e-06
576, 8192, 5.670114316820904e-06
1152, 8192, 1.1340228633641807e-05
272, 8192, 2.9678824169842135e-06
544, 8192, 5.385955362003266e-06
1088, 8192, 1.0770821992378879e-05
2176, 8192, 2.099292324442025e-05
