B, M, K, N, latency
1, 144, 8192, 8192, 3.888241698421339e-05
1, 144, 8192, 2048, 1.1054436581382689e-05
8, 1024, 128, 1024, 8.499914111171597e-06
8, 1024, 1024, 128, 6.311060303635154e-06
8, 8, 128, 128, 1.350810500211698e-07
1, 144, 8192, 28672, 0.00013164235166031573
1, 144, 28672, 8192, 0.00013598149156232987
1, 288, 8192, 8192, 6.157267283614589e-05
1, 288, 8192, 2048, 1.7727817093086556e-05
8, 2048, 128, 1024, 1.61457182604488e-05
8, 2048, 1024, 128, 1.177399866932801e-05
1, 288, 8192, 28672, 0.00020300544365813827
1, 288, 28672, 8192, 0.0002077898747958628
1, 576, 8192, 8192, 0.0001068807838867719
1, 576, 8192, 2048, 3.013826891671203e-05
1, 24, 8192, 8192, 3.693903102885139e-05
1, 24, 8192, 2048, 9.480130647795319e-06
8, 64, 128, 64, 1.5436883808141293e-07
8, 64, 64, 128, 1.5794834573277687e-07
8, 8, 128, 256, 2.1844734772878486e-07
8, 8, 256, 128, 2.200021169781649e-07
8, 8, 128, 512, 3.710264319845158e-07
