M, N, latency
24, 28672, 1.0462774451097804e-06
48, 28672, 2.092554890219561e-06
96, 28672, 4.159590818363273e-06
192, 28672, 8.319181636726547e-06
48, 14336, 1.0462774451097804e-06
96, 14336, 2.092554890219561e-06
192, 14336, 4.159590818363273e-06
96, 7168, 1.0462774451097804e-06
192, 7168, 2.092554890219561e-06
192, 3584, 1.0462774451097804e-06
32, 28672, 1.4035429141716567e-06
64, 28672, 2.781566866267465e-06
128, 28672, 5.56313373253493e-06
256, 28672, 1.1100748502994014e-05
64, 14336, 1.4035429141716567e-06
128, 14336, 2.781566866267465e-06
256, 14336, 5.56313373253493e-06
128, 7168, 1.4035429141716567e-06
256, 7168, 2.781566866267465e-06
256, 3584, 1.4035429141716567e-06
384, 28672, 1.6638363273453093e-05
384, 14336, 8.319181636726547e-06
384, 7168, 4.159590818363273e-06
384, 3584, 2.092554890219561e-06
80, 28672, 3.4705788423153694e-06
160, 28672, 6.941157684630739e-06
320, 28672, 1.3882315369261478e-05
640, 28672, 2.7739111776447107e-05
160, 14336, 3.4705788423153694e-06
320, 14336, 6.941157684630739e-06
640, 14336, 1.3882315369261478e-05
320, 7168, 3.4705788423153694e-06
640, 7168, 6.941157684630739e-06
640, 3584, 3.4705788423153694e-06
144, 28672, 6.252145708582834e-06
288, 28672, 1.247877245508982e-05
576, 28672, 2.495754491017964e-05
1152, 28672, 4.988957085828343e-05
288, 14336, 6.252145708582834e-06
576, 14336, 1.247877245508982e-05
1152, 14336, 2.495754491017964e-05
576, 7168, 6.252145708582834e-06
1152, 7168, 1.247877245508982e-05
1152, 3584, 6.252145708582834e-06
272, 28672, 1.1789760479041917e-05
544, 28672, 2.3579520958083834e-05
1088, 28672, 4.713352295409182e-05
2176, 28672, 9.424152694610778e-05
544, 14336, 1.1789760479041917e-05
1088, 14336, 2.3579520958083834e-05
2176, 14336, 4.713352295409182e-05
1088, 7168, 1.1789760479041917e-05
2176, 7168, 2.3579520958083834e-05
2176, 3584, 1.1789760479041917e-05
